label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,740,1,2788,0,1.0,0.9996414485478666,0.9998207242739333,0.9986504723346828,1.0,0.9993247805536799,0.9999995154710106,0.9999963526279316,0.0001889109284999335,3.637675839399358e-08
Allergic Contact Dermatitis,0.5,613,2916,610,0,2916,3,0.9951060358890701,1.0,0.9975530179445351,1.0,0.9951060358890701,0.9975470155355682,0.9999972028097217,0.9999814448644533,0.0004722773212452806,3.171005519755794e-08
Insect Bite,0.5,282,3247,282,0,3247,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.250764426661198e-15,1.7228742961029757e-08
Urticaria,0.5,232,3297,232,0,3297,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0539120728959281e-15,1.3617993996156108e-08
Psoriasis,0.5,216,3313,216,0,3313,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.530504013779086e-16,1.1574256948949689e-08
Folliculitis,0.5,188,3341,187,0,3341,1,0.9946808510638298,1.0,0.9973404255319149,1.0,0.9946808510638298,0.9973333333333333,0.9999984079171098,0.9999440089585666,0.00018891092849797879,1.0580359621952022e-08
Irritant Contact Dermatitis,0.5,174,3355,173,0,3355,1,0.9942528735632183,1.0,0.9971264367816092,1.0,0.9942528735632183,0.9971181556195965,0.9999991434982956,0.9999671592775041,0.00014168319637365554,9.637915554282245e-09
Tinea,0.5,144,3385,144,0,3385,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.88290444416073e-16,8.688970750388883e-09
Herpes Zoster,0.5,99,3430,99,0,3430,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.633990858868318e-16,5.9898031349410085e-09
Drug Rash,0.5,104,3425,104,0,3425,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,3.862376050994836e-16,5.614268246821546e-09
Herpes Simplex,0.5,100,3429,100,0,3429,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.545171051479385e-16,5.922180728663366e-09
Impetigo,0.5,85,3444,85,0,3444,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7367561582148113e-16,5.079779535193702e-09
Acute Dermatitis NOS,0.5,87,3442,87,0,3442,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,4.770616060544696e-16,6.02822291776703e-09
Hypersensitivity,0.5,79,3450,79,0,3450,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,3.6508378326315446e-16,4.7848216090618584e-09
Acne,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4549391101975246e-16,3.6097944774177836e-09
Pigmented Purpuric Eruption,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,2.6439645789287715e-16,3.6464584891679563e-09
Leukocytoclastic Vasculitis,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9356302129731536e-16,3.6900529479907194e-09
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,0,3467,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,2.1645416238509162e-16,3.188141735730297e-09
Pityriasis Rosea,0.5,56,3473,56,0,3473,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.523280207108248e-16,3.355477125341494e-09
Viral Exanthem,0.5,57,3472,57,0,3472,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1992283740247013e-16,3.214924538051328e-09
Lichen Simplex Chronicus,0.5,55,3474,55,0,3474,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.848068072948156e-16,2.500725247181399e-09
Stasis Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.956727973964283e-16,2.892142448489256e-09
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6998571230106711e-16,2.413758930146875e-09
CD - Contact Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,2.0558676365920634e-16,3.1408452127985645e-09
Scabies,0.5,44,3485,44,0,3485,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8608296854520578e-16,2.3745374323688317e-09
