label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,7,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0832250947519618e-05,0.0028060001545450507
Allergic Contact Dermatitis,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00017343597167292384,0.011841298424398475
Insect Bite,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000990145311707968,0.03033237730437535
Urticaria,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004119219501914687,0.018935584361901896
Psoriasis,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00015529839093332066,0.011263841196960337
Folliculitis,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003501892835185341,0.017430527075926204
Irritant Contact Dermatitis,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010625419026008118,0.030736028826395728
Tinea,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011244114248286762,0.03235675940420458
Herpes Zoster,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010304491098998315,0.03023787843998882
Drug Rash,0.5,4,15,4,0,15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.672756770769053e-05,0.008032786886119763
Herpes Simplex,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009904928528380128,0.030504397275361514
Impetigo,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004204072591216626,0.06287971891163437
Acute Dermatitis NOS,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00017343597167292384,0.011841298424398475
Hypersensitivity,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018064089578718463,0.04125167734313406
Acne,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009904928528380128,0.030504397275361514
Pigmented Purpuric Eruption,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011244114248286762,0.03235675940420458
Leukocytoclastic Vasculitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000990145311707968,0.03033237730437535
Lichen Planus Lichenoid Eruption,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00011684422593251585,0.00971030052985895
Pityriasis Rosea,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010631682985993022,0.03150058826636422
Viral Exanthem,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00032966400355449526,0.017007248217809294
Lichen Simplex Chronicus,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006023633657967683,0.023721880992182885
Stasis Dermatitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006023633657967683,0.023721880992182885
Keratosis Pilaris,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010071585318700022,0.03069316852563104
CD - Contact Dermatitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018064089578718463,0.04125167734313406
Scabies,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000827345617003291,0.027084946938615403
