label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,0,0,2789,740,0.0,1.0,0.5,0.0,0.0,0.0,0.9062620526586106,0.7027672952467775,0.15836915662991236,0.015302115052395196
Allergic Contact Dermatitis,0.5,613,2916,0,0,2916,613,0.0,1.0,0.5,0.0,0.0,0.0,0.9385423729572119,0.7370777632423385,0.13731514343017254,0.20919746392467456
Insect Bite,0.5,282,3247,0,0,3247,282,0.0,1.0,0.5,0.0,0.0,0.0,0.9941964978037556,0.8938103552770593,0.06778275123624286,0.12963997805331745
Urticaria,0.5,232,3297,0,0,3297,232,0.0,1.0,0.5,0.0,0.0,0.0,0.9974585045966553,0.9473160630320947,0.05568671413819376,0.10097794799644058
Psoriasis,0.5,216,3313,0,0,3313,216,0.0,1.0,0.5,0.0,0.0,0.0,0.9955883668153513,0.9037121097473013,0.05460571662916686,0.006884701563621393
Folliculitis,0.5,188,3341,0,0,3341,188,0.0,1.0,0.5,0.0,0.0,0.0,0.9988568844848338,0.9775522620737143,0.04523473715762906,0.07033061215105572
Irritant Contact Dermatitis,0.5,174,3355,0,0,3355,174,0.0,1.0,0.5,0.0,0.0,0.0,0.9972052349384175,0.9523918103563086,0.0445766134197638,0.0017537048377843992
Tinea,0.5,144,3385,0,0,3385,144,0.0,1.0,0.5,0.0,0.0,0.0,0.9982561956343344,0.9348307703600036,0.03791607734719681,0.004064260424945398
Herpes Zoster,0.5,99,3430,0,0,3430,99,0.0,1.0,0.5,0.0,0.0,0.0,0.9996083281797568,0.9589181396540474,0.024586477867791657,0.0009367365846904703
Drug Rash,0.5,104,3425,0,0,3425,104,0.0,1.0,0.5,0.0,0.0,0.0,0.9995788882650196,0.9650480586067807,0.02685797568653457,0.0024279823749069895
Herpes Simplex,0.5,100,3429,0,0,3429,100,0.0,1.0,0.5,0.0,0.0,0.0,0.9996587926509186,0.9828753991730694,0.02261017625753036,0.044930134526546706
Impetigo,0.5,85,3444,0,0,3444,85,0.0,1.0,0.5,0.0,0.0,0.0,0.9998018719682995,0.9896824796336866,0.02182872254815469,0.0009407177626307231
Acute Dermatitis NOS,0.5,87,3442,0,0,3442,87,0.0,1.0,0.5,0.0,0.0,0.0,0.9997228288818983,0.988755458062603,0.02282912610523522,0.0008102734997947683
Hypersensitivity,0.5,79,3450,0,0,3450,79,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.9999999999999997,0.020757642522611704,0.0004380150660581797
Acne,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.9999999999999997,0.014555508275948299,0.032558731815553105
Pigmented Purpuric Eruption,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,0.9996230208595125,0.9745537347803013,0.015797961756280763,0.025385038426054992
Leukocytoclastic Vasculitis,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,0.9997570578872413,0.9749329553706172,0.015989108475776986,0.028811489942301878
Lichen Planus Lichenoid Eruption,0.5,62,3467,0,0,3467,62,0.0,1.0,0.5,0.0,0.0,0.0,0.9559068451854815,0.6833009554007458,0.016979705231097018,0.002410233101169737
Pityriasis Rosea,0.5,56,3473,0,0,3473,56,0.0,1.0,0.5,0.0,0.0,0.0,0.999830323721772,0.9877412976608385,0.014392287963805709,0.0002741957762922194
Viral Exanthem,0.5,57,3472,0,0,3472,57,0.0,1.0,0.5,0.0,0.0,0.0,0.9999898940900639,0.9993897326498342,0.013025054135478479,0.023461656610890287
Lichen Simplex Chronicus,0.5,55,3474,0,0,3474,55,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.014044849388915573,0.00039738904483143517
Stasis Dermatitis,0.5,49,3480,0,0,3480,49,0.0,1.0,0.5,0.0,0.0,0.0,0.9998651184611776,0.9902785134040534,0.010668147301817038,0.01802279046302669
Keratosis Pilaris,0.5,43,3486,0,0,3486,43,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0000000000000002,0.010222483646237358,0.004846839701796784
CD - Contact Dermatitis,0.5,49,3480,0,0,3480,49,0.0,1.0,0.5,0.0,0.0,0.0,0.7143209007741027,0.370105736763179,0.013689693278640457,0.0037098549662694952
Scabies,0.5,44,3485,0,0,3485,44,0.0,1.0,0.5,0.0,0.0,0.0,0.9999478283552888,0.9956054115515987,0.010649665370025888,0.0037601618995145606
