label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,740,1,2788,0,1.0,0.9996414485478666,0.9998207242739333,0.9986504723346828,1.0,0.9993247805536799,0.9999995154710106,0.9999963526279316,0.0001889109285024123,5.365166639190313e-08
Allergic Contact Dermatitis,0.5,613,2916,610,0,2916,3,0.9951060358890701,1.0,0.9975530179445351,1.0,0.9951060358890701,0.9975470155355682,0.9999972028097217,0.9999814448644533,0.00047227732124742076,4.552406042831555e-08
Insect Bite,0.5,282,3247,282,0,3247,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2488023417085056e-15,2.1937675054597987e-08
Urticaria,0.5,232,3297,232,0,3297,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.964707024128181e-15,1.9303260554436517e-08
Psoriasis,0.5,216,3313,216,0,3313,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.7389409232585537e-15,1.7848590492511514e-08
Folliculitis,0.5,188,3341,187,0,3341,1,0.9946808510638298,1.0,0.9973404255319149,1.0,0.9946808510638298,0.9973333333333333,0.9999984079171098,0.9999440089585665,0.00018891092849876193,1.5423202443647906e-08
Irritant Contact Dermatitis,0.5,174,3355,173,0,3355,1,0.9942528735632183,1.0,0.9971264367816092,1.0,0.9942528735632183,0.9971181556195965,0.9999991434982956,0.9999671592775041,0.0001416831963743552,1.5111710639665653e-08
Tinea,0.5,144,3385,144,0,3385,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.2046297165588933e-15,1.362989217922185e-08
Herpes Zoster,0.5,99,3430,99,0,3430,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.449043711063661e-16,9.13196888349872e-09
Drug Rash,0.5,104,3425,104,0,3425,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0196624710695956e-15,9.652913366879588e-09
Herpes Simplex,0.5,100,3429,100,0,3429,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.497836065661362e-16,8.858413824235841e-09
Impetigo,0.5,85,3444,85,0,3444,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,7.513380522207267e-16,7.779156806980322e-09
Acute Dermatitis NOS,0.5,87,3442,87,0,3442,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.505918149412957e-16,8.381929220542879e-09
Hypersensitivity,0.5,79,3450,79,0,3450,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,8.086990286515054e-16,7.693739182953934e-09
Acne,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,5.493347383217561e-16,5.692598189227573e-09
Pigmented Purpuric Eruption,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,6.038920921818226e-16,6.578991243177193e-09
Leukocytoclastic Vasculitis,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,5.881262628455093e-16,5.982599886998335e-09
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,0,3467,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.352049056941807e-16,4.881742308606823e-09
Pityriasis Rosea,0.5,56,3473,56,0,3473,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.916076363167255e-16,5.121553788844281e-09
Viral Exanthem,0.5,57,3472,57,0,3472,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.92637069240189e-16,5.7010481488905975e-09
Lichen Simplex Chronicus,0.5,55,3474,55,0,3474,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.727224008837034e-16,4.383957775917112e-09
Stasis Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,3.548827118604092e-16,4.080667793132276e-09
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3718261416216554e-16,3.595637903332762e-09
CD - Contact Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2122922006471414e-16,4.500891993684977e-09
Scabies,0.5,44,3485,44,0,3485,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,3.909625686808094e-16,3.7012925867005563e-09
