label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,558,871,1918,182,0.754054054054054,0.6877016851918251,0.7208778696229395,0.390482855143457,0.754054054054054,0.5145228215767634,0.795168276918008,0.4730229871423705,0.18969795289515146,0.22434325089436663
Allergic Contact Dermatitis,0.5,613,2916,497,809,2107,116,0.8107667210440457,0.7225651577503429,0.7666659393971943,0.38055130168453294,0.8107667210440457,0.5179781136008338,0.836364928156965,0.4615234369742313,0.17383641127127047,0.23351131674566242
Insect Bite,0.5,282,3247,259,593,2654,23,0.9184397163120568,0.8173698798891285,0.8679047981005926,0.3039906103286385,0.9184397163120568,0.4567901234567901,0.9211263206407662,0.40596996273498964,0.12789216034782133,0.22148215354271947
Urticaria,0.5,232,3297,221,427,2870,11,0.9525862068965517,0.8704883227176221,0.911537264807087,0.3410493827160494,0.9525862068965517,0.5022727272727273,0.9604015667325574,0.5242918815338339,0.09217486120229347,0.1683284675524385
Psoriasis,0.5,216,3313,197,537,2776,19,0.9120370370370371,0.8379112586779354,0.8749741478574862,0.2683923705722071,0.9120370370370371,0.4147368421052632,0.9366259181004125,0.3980597236102989,0.11770237794871401,0.22012984094382362
Folliculitis,0.5,188,3341,185,425,2916,3,0.9840425531914894,0.8727925770727327,0.928417565132111,0.30327868852459017,0.9840425531914894,0.46365914786967416,0.9604048985206365,0.43057836124468435,0.0918326940622685,0.16502590131160666
Irritant Contact Dermatitis,0.5,174,3355,167,462,2893,7,0.9597701149425287,0.8622950819672132,0.911032598454871,0.2655007949125596,0.9597701149425287,0.41594022415940224,0.9513310036486972,0.39332825188141685,0.10290220225418724,0.1953476131537284
Tinea,0.5,144,3385,142,390,2995,2,0.9861111111111112,0.8847858197932054,0.9354484654521582,0.2669172932330827,0.9861111111111112,0.42011834319526625,0.9662132775315937,0.3906992293851313,0.08659217308284377,0.16645098767570876
Herpes Zoster,0.5,99,3430,99,161,3269,0,1.0,0.9530612244897959,0.976530612244898,0.38076923076923075,1.0,0.5515320334261838,0.9908443030892011,0.5933515669438061,0.03799141536879148,0.07751047464085954
Drug Rash,0.5,104,3425,104,271,3154,0,1.0,0.9208759124087591,0.9604379562043796,0.2773333333333333,1.0,0.4342379958246347,0.9798764738910725,0.40831837378484453,0.06351483643966604,0.1236872111807431
Herpes Simplex,0.5,100,3429,100,128,3301,0,1.0,0.9626713327500729,0.9813356663750364,0.43859649122807015,1.0,0.6097560975609756,0.9946748323126274,0.7325585763688836,0.03193399094077891,0.06925428980557125
Impetigo,0.5,85,3444,85,149,3295,0,1.0,0.9567363530778165,0.9783681765389083,0.36324786324786323,1.0,0.5329153605015674,0.9927922388467583,0.5787369414061219,0.033662693110440026,0.07313323364575486
