label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,740,1,2788,0,1.0,0.9996414485478666,0.9998207242739333,0.9986504723346828,1.0,0.9993247805536799,0.9999995154710106,0.9999963526279314,0.026105148384411282,0.14743560079385856
Allergic Contact Dermatitis,0.5,613,2916,613,4,2912,0,1.0,0.9986282578875172,0.9993141289437586,0.993517017828201,1.0,0.9967479674796748,0.9999972028097217,0.9999814448644533,0.02358420634082353,0.13632584213247997
Insect Bite,0.5,282,3247,282,0,3247,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00994623122697648,0.08370674726866284
Urticaria,0.5,232,3297,232,0,3297,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007145445060154137,0.06605947545732188
Psoriasis,0.5,216,3313,216,0,3313,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0060784527845121035,0.06813670854192248
Folliculitis,0.5,188,3341,188,2,3339,0,1.0,0.9994013768332835,0.9997006884166417,0.9894736842105263,1.0,0.9947089947089947,0.9999984079171098,0.9999440089585666,0.0062960201809009525,0.058120054839369634
Irritant Contact Dermatitis,0.5,174,3355,174,1,3354,0,1.0,0.9997019374068554,0.9998509687034277,0.9942857142857143,1.0,0.997134670487106,0.9999991434982956,0.9999671592775041,0.004701424726529312,0.056859759477083154
Tinea,0.5,144,3385,144,0,3385,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003643664837029341,0.050392619879726715
Herpes Zoster,0.5,99,3430,99,0,3430,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025385401908000382,0.03236595195365384
Drug Rash,0.5,104,3425,104,0,3425,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028556812337982643,0.03703299644217752
Herpes Simplex,0.5,100,3429,100,0,3429,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022727654286004146,0.031999464752369255
Impetigo,0.5,85,3444,85,0,3444,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001700018103963981,0.030314694121721608
Acute Dermatitis NOS,0.5,87,3442,87,0,3442,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002024489765575531,0.03116479329995907
Hypersensitivity,0.5,79,3450,79,0,3450,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016516374904232659,0.028188186769937975
Acne,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001868044142186959,0.019211611725071624
Pigmented Purpuric Eruption,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016542501460561348,0.02413274141242404
Leukocytoclastic Vasculitis,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016813220441561803,0.024129750322722836
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,0,3467,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010153079073216978,0.02360599477346431
Pityriasis Rosea,0.5,56,3473,56,0,3473,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011472269449954349,0.020047700009445547
Viral Exanthem,0.5,57,3472,57,0,3472,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001392389950638274,0.019473095935266523
Lichen Simplex Chronicus,0.5,55,3474,55,0,3474,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007046263061966284,0.018625830420956516
Stasis Dermatitis,0.5,49,3480,49,1,3479,0,1.0,0.9997126436781609,0.9998563218390805,0.98,1.0,0.98989898989899,1.0,1.0,0.0011970515027164693,0.015560435754541736
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000844523507166371,0.015658197160039043
CD - Contact Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008190456324842838,0.02294244513711785
Scabies,0.5,44,3485,44,0,3485,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0006688373057103576,0.016734832026699415
