label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,7,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.06613470936269455,0.2488880665145923
Allergic Contact Dermatitis,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.26868686868686864,0.12714161679650698,0.07759191945781785
Insect Bite,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.03728396203294006,0.10236630672254676
Urticaria,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.07872977944876057,0.09243111097760116
Psoriasis,0.5,3,16,1,0,16,2,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,1.0,1.0,0.07051252527720445,0.16895458451415712
Folliculitis,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.07613681213861401,0.09916771306303293
Irritant Contact Dermatitis,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0804093567251462,0.10052161041489178,0.03367205996036729
Tinea,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.2222222222222222,0.06666666666666667,0.05784421117768159,0.07598712990381139
Herpes Zoster,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.17647058823529416,0.09453781512605042,0.11013446306512821,0.0821116784238984
Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.8500000000000001,0.5178571428571428,0.15346566536760384,0.0473794567303071
Herpes Simplex,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.9444444444444444,0.5,0.0514099604748947,0.050264554480436506
Impetigo,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013903150624142984,0.02755391096496089
Acute Dermatitis NOS,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.26868686868686864,0.12714180147530849,0.0775917093748351
Hypersensitivity,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.9444444444444444,0.5,0.047810628431637504,0.009791151244999227
Acne,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.9444444444444444,0.5,0.05140988270114058,0.050264184804857934
Pigmented Purpuric Eruption,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.2222222222222222,0.06666666666666667,0.05784370334932034,0.07598533561193777
Leukocytoclastic Vasculitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.03728406098274629,0.10236642498651372
Lichen Planus Lichenoid Eruption,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.09125009233877639,0.2072779898210912
Pityriasis Rosea,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.04657335075374671,0.11983401203956467
Viral Exanthem,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.054206333576642694,0.13648446701726985
Lichen Simplex Chronicus,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.028454305393915427,0.08370465535986824
Stasis Dermatitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.028454310135598865,0.08370466662622525
Keratosis Pilaris,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.039387867429833114,0.1161732993351863
CD - Contact Dermatitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.9444444444444444,0.5,0.047810617250067834,0.009791115920483345
Scabies,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.7352941176470588,0.24285714285714285,0.09425065750502518,0.023563801834721954
