label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,225,11,2778,515,0.30405405405405406,0.9960559340265328,0.6500549940402934,0.9533898305084746,0.30405405405405406,0.4610655737704918,0.9330380936691441,0.8169705697925314,0.10264049050236576,0.12408479539650756
Allergic Contact Dermatitis,0.5,613,2916,156,11,2905,457,0.2544861337683524,0.9962277091906722,0.6253569214795123,0.9341317365269461,0.2544861337683524,0.4,0.9456959073749601,0.8191871403723389,0.08591202491107508,0.11485628675211142
Insect Bite,0.5,282,3247,102,0,3247,180,0.3617021276595745,1.0,0.6808510638297872,1.0,0.3617021276595745,0.53125,0.9678776044226314,0.8601267297857507,0.0357077559442191,0.05822841663158688
Urticaria,0.5,232,3297,124,1,3296,108,0.5344827586206896,0.9996966939642099,0.7670897262924498,0.992,0.5344827586206896,0.6946778711484594,0.9841143463754929,0.9081754912158001,0.022988002017567257,0.04246990614733218
Psoriasis,0.5,216,3313,84,1,3312,132,0.3888888888888889,0.9996981587684878,0.6942935238286884,0.9882352941176471,0.3888888888888889,0.5581395348837209,0.9790471878458598,0.8836039169312858,0.02537771804138242,0.04392405964343885
Folliculitis,0.5,188,3341,95,1,3340,93,0.5053191489361702,0.9997006884166417,0.7525099186764059,0.9895833333333334,0.5053191489361702,0.6690140845070423,0.9917880364523299,0.9345330282329949,0.01846331162608211,0.0388275879894373
Irritant Contact Dermatitis,0.5,174,3355,42,0,3355,132,0.2413793103448276,1.0,0.6206896551724138,1.0,0.2413793103448276,0.3888888888888889,0.9730244788187128,0.8799870952819004,0.024031490913473563,0.0461899348028101
Tinea,0.5,144,3385,63,0,3385,81,0.4375,1.0,0.71875,1.0,0.4375,0.6086956521739131,0.987241506646972,0.9286706697523881,0.014833026988366322,0.03489644754974945
Herpes Zoster,0.5,99,3430,72,1,3429,27,0.7272727272727273,0.9997084548104956,0.8634905910416115,0.9863013698630136,0.7272727272727273,0.8372093023255814,0.9981064287186736,0.9748321033131138,0.006115048483010038,0.01820835429141177
Drug Rash,0.5,104,3425,64,0,3425,40,0.6153846153846154,1.0,0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619,0.9913054463784391,0.9621744865113966,0.008337694288225046,0.024738034028144767
Herpes Simplex,0.5,100,3429,79,0,3429,21,0.79,1.0,0.895,1.0,0.79,0.88268156424581,0.9929950422863809,0.9759988267863194,0.005338182565335668,0.017053356123024072
Impetigo,0.5,85,3444,51,0,3444,34,0.6,1.0,0.8,1.0,0.6,0.75,0.999859943977591,0.9944478512617427,0.0061781041414759146,0.021703595367564284
Acute Dermatitis NOS,0.5,87,3442,60,0,3442,27,0.6896551724137931,1.0,0.8448275862068966,1.0,0.6896551724137931,0.8163265306122449,0.9974620475932864,0.9855375074188346,0.006357822518749706,0.021718151671655597
Hypersensitivity,0.5,79,3450,61,0,3450,18,0.7721518987341772,1.0,0.8860759493670887,1.0,0.7721518987341772,0.8714285714285714,0.9999889928453495,0.9995272204319898,0.0043697115839845336,0.01825656667277021
Acne,0.5,69,3460,66,0,3460,3,0.9565217391304348,1.0,0.9782608695652174,1.0,0.9565217391304348,0.9777777777777777,1.0,0.9999999999999999,0.0015730120470125771,0.009215329600647405
Pigmented Purpuric Eruption,0.5,69,3460,58,0,3460,11,0.8405797101449275,1.0,0.9202898550724637,1.0,0.8405797101449275,0.9133858267716536,0.9938384853815867,0.9823384881239716,0.0034460356103896733,0.012983334807549544
Leukocytoclastic Vasculitis,0.5,69,3460,66,0,3460,3,0.9565217391304348,1.0,0.9782608695652174,1.0,0.9565217391304348,0.9777777777777777,1.0,0.9999999999999997,0.0014164230741447975,0.009270102280390564
Lichen Planus Lichenoid Eruption,0.5,62,3467,60,0,3467,2,0.967741935483871,1.0,0.9838709677419355,1.0,0.967741935483871,0.9836065573770492,0.9999999999999999,1.0,0.0013794655356228489,0.009717770909737699
Pityriasis Rosea,0.5,56,3473,54,0,3473,2,0.9642857142857143,1.0,0.9821428571428572,1.0,0.9642857142857143,0.9818181818181818,0.9999999999999999,1.0,0.0010809428722673433,0.0069061496015568056
Viral Exanthem,0.5,57,3472,56,0,3472,1,0.9824561403508771,1.0,0.9912280701754386,1.0,0.9824561403508771,0.9911504424778761,1.0,1.0000000000000002,0.001384757931994451,0.008244563943335446
Lichen Simplex Chronicus,0.5,55,3474,55,0,3474,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006675327464443458,0.005216872926578081
Stasis Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006557545594423048,0.005311972206557703
Keratosis Pilaris,0.5,43,3486,42,0,3486,1,0.9767441860465116,1.0,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471,1.0,1.0,0.0008949678470904663,0.006234424383962827
CD - Contact Dermatitis,0.5,49,3480,45,0,3480,4,0.9183673469387755,1.0,0.9591836734693877,1.0,0.9183673469387755,0.9574468085106383,0.9999765423410742,0.998315957299116,0.0017163836511423043,0.009724118785224884
Scabies,0.5,44,3485,42,0,3485,2,0.9545454545454546,1.0,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,1.0,0.9999999999999999,0.0006319791299377676,0.004873944687169748
