label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,59,1,2788,681,0.07972972972972973,0.9996414485478666,0.5396855891387982,0.9833333333333333,0.07972972972972973,0.1475,0.9384270250889111,0.8452797775353474,0.11675301175991006,0.17023941784411387
Allergic Contact Dermatitis,0.5,613,2916,34,0,2916,579,0.05546492659053834,1.0,0.5277324632952691,1.0,0.05546492659053834,0.10510046367851623,0.9529960145632914,0.8684138166275459,0.09943925593581217,0.14792397729332657
Insect Bite,0.5,282,3247,20,0,3247,262,0.07092198581560284,1.0,0.5354609929078015,1.0,0.07092198581560284,0.13245033112582782,0.9869492188097251,0.9346647022518317,0.045926463853144465,0.08773735231144786
Urticaria,0.5,232,3297,18,0,3297,214,0.07758620689655173,1.0,0.5387931034482759,1.0,0.07758620689655173,0.144,0.9852635101921287,0.9368051053737195,0.03579993186351991,0.07547683932749251
Psoriasis,0.5,216,3313,24,0,3313,192,0.1111111111111111,1.0,0.5555555555555556,1.0,0.1111111111111111,0.2,0.9866672815284345,0.9244374923222706,0.03574199657164275,0.07490135092209912
Folliculitis,0.5,188,3341,25,0,3341,163,0.13297872340425532,1.0,0.5664893617021276,1.0,0.13297872340425532,0.2347417840375587,0.9875992663682042,0.9141289058021926,0.028294688224332145,0.05580582755602545
Irritant Contact Dermatitis,0.5,174,3355,16,0,3355,158,0.09195402298850575,1.0,0.5459770114942528,1.0,0.09195402298850575,0.16842105263157894,0.9640603319800606,0.8764598605289571,0.028818215702189606,0.052811613058991264
Tinea,0.5,144,3385,17,0,3385,127,0.11805555555555555,1.0,0.5590277777777778,1.0,0.11805555555555555,0.2111801242236025,0.9914184309863778,0.9367260777500492,0.02166775871943282,0.05053176623071861
Herpes Zoster,0.5,99,3430,43,0,3430,56,0.43434343434343436,1.0,0.7171717171717171,1.0,0.43434343434343436,0.6056338028169014,0.9992284359631298,0.9916473203370543,0.008743719944301771,0.029344705417658618
Drug Rash,0.5,104,3425,26,0,3425,78,0.25,1.0,0.625,1.0,0.25,0.4,0.9904042672655811,0.9638798999297026,0.012476582360560118,0.03301149967946039
Herpes Simplex,0.5,100,3429,49,0,3429,51,0.49,1.0,0.745,1.0,0.49,0.6577181208053692,0.9933012540099154,0.9653477544880613,0.008877539862080933,0.026079091684459654
Impetigo,0.5,85,3444,46,0,3444,39,0.5411764705882353,1.0,0.7705882352941176,1.0,0.5411764705882353,0.7022900763358778,0.9943328550932569,0.9811847779201635,0.0069717818197633655,0.023221814377565986
Acute Dermatitis NOS,0.5,87,3442,36,0,3442,51,0.41379310344827586,1.0,0.7068965517241379,1.0,0.41379310344827586,0.5853658536585366,0.9986341808758608,0.9822688336394635,0.008423222230596421,0.025426558315518672
Hypersensitivity,0.5,79,3450,43,0,3450,36,0.5443037974683544,1.0,0.7721518987341772,1.0,0.5443037974683544,0.7049180327868853,0.995558613098514,0.9726163572822351,0.006548548756276984,0.020791169499377433
Acne,0.5,69,3460,55,0,3460,14,0.7971014492753623,1.0,0.8985507246376812,1.0,0.7971014492753623,0.8870967741935484,0.9951830443159922,0.9768076014777162,0.0036418253545335475,0.012361365959551734
Pigmented Purpuric Eruption,0.5,69,3460,52,0,3460,17,0.7536231884057971,1.0,0.8768115942028986,1.0,0.7536231884057971,0.859504132231405,0.993453128926866,0.9861199914748506,0.0038646899977225484,0.01565385185198254
Leukocytoclastic Vasculitis,0.5,69,3460,49,0,3460,20,0.7101449275362319,1.0,0.855072463768116,1.0,0.7101449275362319,0.8305084745762712,0.9930091312725141,0.9850338121761368,0.003996920085935932,0.015944081740731093
Lichen Planus Lichenoid Eruption,0.5,62,3467,54,0,3467,8,0.8709677419354839,1.0,0.935483870967742,1.0,0.8709677419354839,0.9310344827586207,0.9972645310159383,0.9821223526333288,0.002843241311846539,0.011700666737018969
Pityriasis Rosea,0.5,56,3473,55,1,3472,1,0.9821428571428571,0.9997120644975526,0.9909274608202048,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.999964008062194,0.997682002212448,0.0017595638342069943,0.009443516072988961
Viral Exanthem,0.5,57,3472,49,0,3472,8,0.8596491228070176,1.0,0.9298245614035088,1.0,0.8596491228070176,0.9245283018867925,1.0,1.0000000000000002,0.002080540017385242,0.010575899735043892
Lichen Simplex Chronicus,0.5,55,3474,51,0,3474,4,0.9272727272727272,1.0,0.9636363636363636,1.0,0.9272727272727272,0.9622641509433962,1.0,1.0,0.0012090027958126849,0.007240891752546176
Stasis Dermatitis,0.5,49,3480,47,0,3480,2,0.9591836734693877,1.0,0.9795918367346939,1.0,0.9591836734693877,0.9791666666666666,1.0,1.0,0.0013202329109743439,0.008075776859557269
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.0006584039292043528,0.005610197861431141
CD - Contact Dermatitis,0.5,49,3480,45,0,3480,4,0.9183673469387755,1.0,0.9591836734693877,1.0,0.9183673469387755,0.9574468085106383,1.0,1.0,0.0012865491920149546,0.008606588614757377
Scabies,0.5,44,3485,41,0,3485,3,0.9318181818181818,1.0,0.9659090909090908,1.0,0.9318181818181818,0.9647058823529412,1.0,0.9999999999999999,0.0006768442294549989,0.004904203989825649
