label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,7,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.3975396117458022e-05,0.0033350019497867542
Allergic Contact Dermatitis,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00027800242444708296,0.014634536754999379
Insect Bite,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006571604478284871,0.024837523185657948
Urticaria,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003410229556705175,0.017323325300262746
Psoriasis,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00011667335476061407,0.009854213072970379
Folliculitis,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005202565477642052,0.0210063707484206
Irritant Contact Dermatitis,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016243907848866566,0.037818301900072605
Tinea,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001484361819843439,0.03736045111051197
Herpes Zoster,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000979656673803437,0.02907578978087239
Drug Rash,0.5,4,15,4,0,15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.318639317354526e-05,0.007415576027023141
Herpes Simplex,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007124475835704195,0.025857279792802234
Impetigo,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006083232719574285,0.0758154124155673
Acute Dermatitis NOS,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00027800242444708296,0.014634536754999379
Hypersensitivity,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002242352456316438,0.04586385304976238
Acne,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007124475835704195,0.025857279792802234
Pigmented Purpuric Eruption,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001484361819843439,0.03736045111051197
Leukocytoclastic Vasculitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006571604478284871,0.024837523185657948
Lichen Planus Lichenoid Eruption,0.5,3,16,3,0,16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00013272547913068265,0.010370377520824366
Pityriasis Rosea,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006300280398642217,0.02423542887851711
Viral Exanthem,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003276758844465574,0.01688909560866839
Lichen Simplex Chronicus,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007421374000133863,0.026345394367217896
Stasis Dermatitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007421374000133863,0.026345394367217896
Keratosis Pilaris,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015646355928716237,0.03815681475040487
CD - Contact Dermatitis,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002242352456316438,0.04586385304976238
Scabies,0.5,2,17,2,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006581424303702655,0.024064623627447893
