label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,626,609,2180,114,0.845945945945946,0.7816421656507709,0.8137940557983585,0.5068825910931174,0.845945945945946,0.6339240506329114,0.8860620390917989,0.6259945512336073,0.14586750343098387,0.1798446039138957
Allergic Contact Dermatitis,0.5,613,2916,555,578,2338,58,0.9053833605220228,0.8017832647462277,0.8535833126341252,0.48984995586937335,0.9053833605220228,0.6357388316151202,0.9104658552577107,0.6029939235624584,0.13184737951286418,0.18124498140662323
Insect Bite,0.5,282,3247,277,281,2966,5,0.9822695035460993,0.9134585771481367,0.947864040347118,0.496415770609319,0.9822695035460993,0.6595238095238095,0.9740316757203048,0.6209686757535713,0.06763928158833059,0.12170909252691303
Urticaria,0.5,232,3297,232,173,3124,0,1.0,0.9475280558083106,0.9737640279041553,0.5728395061728395,1.0,0.728414442700157,0.9900588832062585,0.7952784611678566,0.04121299699821125,0.08145456628562914
Psoriasis,0.5,216,3313,215,194,3119,1,0.9953703703703703,0.9414428010866285,0.9684065857284994,0.5256723716381418,0.9953703703703703,0.688,0.9874162949547798,0.7214880728587965,0.04852911706335488,0.09868741370750192
Folliculitis,0.5,188,3341,188,137,3204,0,1.0,0.9589943130799162,0.9794971565399582,0.5784615384615385,1.0,0.732943469785575,0.992977322371312,0.7880905467203629,0.03403666555217277,0.07035293960724795
Irritant Contact Dermatitis,0.5,174,3355,174,208,3147,0,1.0,0.9380029806259315,0.9690014903129658,0.45549738219895286,1.0,0.6258992805755396,0.9891712489507855,0.6918797784284997,0.0485510295902144,0.10434491428679331
Tinea,0.5,144,3385,144,112,3273,0,1.0,0.9669128508124076,0.9834564254062038,0.5625,1.0,0.72,0.9956343344821926,0.8024265448237224,0.027263206730617776,0.06300490806569502
Herpes Zoster,0.5,99,3430,99,39,3391,0,1.0,0.9886297376093295,0.9943148688046648,0.717391304347826,1.0,0.8354430379746836,0.9994345790264157,0.9444653749948394,0.009969528340200397,0.029039139946977363
Drug Rash,0.5,104,3425,104,57,3368,0,1.0,0.9833576642335766,0.9916788321167883,0.6459627329192547,1.0,0.7849056603773585,0.9978326782706345,0.8341235682951886,0.01631889902345378,0.04444577905273208
Herpes Simplex,0.5,100,3429,100,17,3412,0,1.0,0.9950422863808691,0.9975211431904345,0.8547008547008547,1.0,0.9216589861751152,0.999912510936133,0.996496427569417,0.00561315921411706,0.021296314324983114
Impetigo,0.5,85,3444,85,29,3415,0,1.0,0.9915795586527294,0.9957897793263647,0.7456140350877193,1.0,0.8542713567839196,0.9993919519027123,0.9401864257233504,0.008535073893575584,0.028438042911918416
Acute Dermatitis NOS,0.5,87,3442,87,46,3396,0,1.0,0.9866356769320163,0.9933178384660082,0.6541353383458647,1.0,0.7909090909090909,0.9990783225470355,0.9455447720213226,0.014452837000375418,0.04310703991324705
Hypersensitivity,0.5,79,3450,79,34,3416,0,1.0,0.9901449275362318,0.9950724637681159,0.6991150442477876,1.0,0.8229166666666666,0.9995707209686296,0.9672353674633387,0.009850226112035875,0.03193295697302614
Acne,0.5,69,3460,69,7,3453,0,1.0,0.9979768786127168,0.9989884393063584,0.9078947368421053,1.0,0.9517241379310345,1.0,0.9999999999999997,0.002425344800251876,0.012391970916334944
Pigmented Purpuric Eruption,0.5,69,3460,69,6,3454,0,1.0,0.9982658959537573,0.9991329479768787,0.92,1.0,0.9583333333333334,1.0,0.9999999999999998,0.0031267122430004937,0.015935693128106113
Leukocytoclastic Vasculitis,0.5,69,3460,69,8,3452,0,1.0,0.9976878612716763,0.9988439306358381,0.8961038961038961,1.0,0.9452054794520548,1.0,0.9999999999999998,0.003168893539325223,0.016122919225588325
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,8,3459,0,1.0,0.997692529564465,0.9988462647822325,0.8857142857142857,1.0,0.9393939393939394,1.0,1.0,0.004083097899346643,0.019620934006703738
Pityriasis Rosea,0.5,56,3473,56,7,3466,0,1.0,0.9979844514828679,0.9989922257414339,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0000000000000002,0.0022845763228294988,0.012422476884649342
Viral Exanthem,0.5,57,3472,57,13,3459,0,1.0,0.9962557603686636,0.9981278801843319,0.8142857142857143,1.0,0.8976377952755905,1.0,1.0000000000000004,0.0041551301429822085,0.016711990280610507
Lichen Simplex Chronicus,0.5,55,3474,55,2,3472,0,1.0,0.9994242947610823,0.9997121473805411,0.9649122807017544,1.0,0.9821428571428571,0.9999999999999999,1.0,0.0019796552896140596,0.01333593800502028
Stasis Dermatitis,0.5,49,3480,49,5,3475,0,1.0,0.9985632183908046,0.9992816091954023,0.9074074074074074,1.0,0.9514563106796117,1.0,1.0000000000000002,0.0022496121449242334,0.012401069780122134
Keratosis Pilaris,0.5,43,3486,43,4,3482,0,1.0,0.9988525530694206,0.9994262765347103,0.9148936170212766,1.0,0.9555555555555556,1.0,1.0,0.0019949954599110735,0.01187678216837111
CD - Contact Dermatitis,0.5,49,3480,49,16,3464,0,1.0,0.9954022988505747,0.9977011494252874,0.7538461538461538,1.0,0.8596491228070176,0.9999589490968802,0.9970266299739832,0.0067150378415247545,0.026608927666476746
Scabies,0.5,44,3485,44,1,3484,0,1.0,0.999713055954089,0.9998565279770445,0.9777777777777777,1.0,0.9887640449438202,1.0,0.9999999999999999,0.0012867877678437894,0.010847613542799632
