label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,0,0,2789,740,0.0,1.0,0.5,0.0,0.0,0.0,0.8986801430329578,0.6713659064359476,0.1445726025013065,0.08724124434402755
Allergic Contact Dermatitis,0.5,613,2916,0,0,2916,613,0.0,1.0,0.5,0.0,0.0,0.0,0.9204490273609965,0.6566520227528704,0.12378625108342635,0.15952449293142074
Insect Bite,0.5,282,3247,0,0,3247,282,0.0,1.0,0.5,0.0,0.0,0.0,0.9739978201373007,0.6755946381986915,0.06391817520249439,0.0917789866184769
Urticaria,0.5,232,3297,0,0,3297,232,0.0,1.0,0.5,0.0,0.0,0.0,0.9867826550782843,0.8061442291785523,0.04980098443035314,0.08594258925983979
Psoriasis,0.5,216,3313,0,0,3313,216,0.0,1.0,0.5,0.0,0.0,0.0,0.984288884417167,0.7591103935478786,0.05066596013078025,0.09017943432351713
Folliculitis,0.5,188,3341,0,0,3341,188,0.0,1.0,0.5,0.0,0.0,0.0,0.9914202653046928,0.8184368388456069,0.04167918751717445,0.07862440660028462
Irritant Contact Dermatitis,0.5,174,3355,0,0,3355,174,0.0,1.0,0.5,0.0,0.0,0.0,0.9825693338129742,0.7281079468819638,0.0436511946782833,0.01309784321329125
Tinea,0.5,144,3385,0,0,3385,144,0.0,1.0,0.5,0.0,0.0,0.0,0.9926985885442311,0.8073742188297347,0.035674113628470554,0.018464711383629814
Herpes Zoster,0.5,99,3430,0,0,3430,99,0.0,1.0,0.5,0.0,0.0,0.0,0.9978207733309774,0.8857983276864552,0.02349973090936146,0.018199270166739882
Drug Rash,0.5,104,3425,0,0,3425,104,0.0,1.0,0.5,0.0,0.0,0.0,0.996341942728804,0.8447008162686162,0.026332539057306325,0.004940890031100806
Herpes Simplex,0.5,100,3429,0,0,3429,100,0.0,1.0,0.5,0.0,0.0,0.0,0.9996150481189852,0.9788611373627324,0.02153957654075951,0.04785103523710927
Impetigo,0.5,85,3444,0,0,3444,85,0.0,1.0,0.5,0.0,0.0,0.0,0.9982817517250802,0.8750353907535049,0.021148955244372436,0.003899130459730487
Acute Dermatitis NOS,0.5,87,3442,0,0,3442,87,0.0,1.0,0.5,0.0,0.0,0.0,0.9888396882325833,0.6821208698231166,0.023219316549287005,0.0012861491127621194
Hypersensitivity,0.5,79,3450,0,0,3450,79,0.0,1.0,0.5,0.0,0.0,0.0,0.9982608695652174,0.8530847584156905,0.020518829928357848,0.0005882781943791146
Acne,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,0.9998282650582223,0.9906802856797248,0.013115021001370613,0.02967590566558952
Pigmented Purpuric Eruption,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,0.9997528692301249,0.9818204582818244,0.013862405038420211,0.033464429486736204
Leukocytoclastic Vasculitis,0.5,69,3460,0,0,3460,69,0.0,1.0,0.5,0.0,0.0,0.0,0.9989863449778001,0.9231374331944091,0.015320931329082146,0.03488299526440295
Lichen Planus Lichenoid Eruption,0.5,62,3467,0,0,3467,62,0.0,1.0,0.5,0.0,0.0,0.0,0.9992323939075337,0.9491398245259981,0.016057157492302333,0.0028444546349300948
Pityriasis Rosea,0.5,56,3473,0,0,3473,56,0.0,1.0,0.5,0.0,0.0,0.0,0.9999434412405906,0.9964980037006724,0.012130091699254837,0.027668447294634718
Viral Exanthem,0.5,57,3472,0,0,3472,57,0.0,1.0,0.5,0.0,0.0,0.0,0.9984083191850593,0.7992761952218826,0.013858378972134319,0.0035293749803822333
Lichen Simplex Chronicus,0.5,55,3474,0,0,3474,55,0.0,1.0,0.5,0.0,0.0,0.0,0.999801120008374,0.9820340356470769,0.013265487940651237,0.0041311081162161
Stasis Dermatitis,0.5,49,3480,0,0,3480,49,0.0,1.0,0.5,0.0,0.0,0.0,0.9994956603330987,0.909914173330189,0.012147388106308759,0.0015234843238897088
Keratosis Pilaris,0.5,43,3486,0,0,3486,43,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0000000000000002,0.009827808786133414,0.018775160437867124
CD - Contact Dermatitis,0.5,49,3480,0,0,3480,49,0.0,1.0,0.5,0.0,0.0,0.0,0.8698569082805536,0.38931701344878156,0.013645989741119184,0.0037558854008022894
Scabies,0.5,44,3485,0,0,3485,44,0.0,1.0,0.5,0.0,0.0,0.0,0.9995891482979001,0.9133420760688237,0.01114321335937932,0.0014737276694297002
