label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,585,674,2115,155,0.7905405405405406,0.7583363212621012,0.7744384309013208,0.46465448768864176,0.7905405405405406,0.5852926463231616,0.8385132712490189,0.5245074442744354,0.17177878516018272,0.2077532970403718
Allergic Contact Dermatitis,0.5,613,2916,487,713,2203,126,0.7944535073409462,0.7554869684499315,0.7749702378954388,0.4058333333333333,0.7944535073409462,0.53723110865968,0.8547592514271265,0.5074368282030652,0.16382212786985323,0.22370588885632958
Insect Bite,0.5,282,3247,275,469,2778,7,0.975177304964539,0.8555589775177087,0.9153681412411239,0.3696236559139785,0.975177304964539,0.5360623781676414,0.9499887512095179,0.47712800632536884,0.10261380146360463,0.17672277617565946
Urticaria,0.5,232,3297,226,287,3010,6,0.9741379310344828,0.9129511677282378,0.9435445493813603,0.4405458089668616,0.9741379310344828,0.6067114093959731,0.9778991873490006,0.6355176858776772,0.06661448213123004,0.12333065024976592
Psoriasis,0.5,216,3313,210,329,2984,6,0.9722222222222222,0.9006942348324781,0.9364582285273502,0.38961038961038963,0.9722222222222222,0.5562913907284768,0.9694665235715643,0.524623227740144,0.07848034954248274,0.15111962966208398
Folliculitis,0.5,188,3341,187,275,3066,1,0.9946808510638298,0.9176893145764741,0.9561850828201519,0.40476190476190477,0.9946808510638298,0.5753846153846154,0.9781343335859439,0.550724733979323,0.06277470477809222,0.11618637351843675
Irritant Contact Dermatitis,0.5,174,3355,170,320,3035,4,0.9770114942528736,0.9046199701937406,0.940815732223307,0.3469387755102041,0.9770114942528736,0.5120481927710844,0.9736822721277214,0.4964628764594963,0.07424150038889489,0.14398016006449613
Tinea,0.5,144,3385,144,160,3225,0,1.0,0.9527326440177253,0.9763663220088626,0.47368421052631576,1.0,0.6428571428571429,0.9886386016740523,0.6061037338144586,0.04229671936263922,0.09120845906416937
Herpes Zoster,0.5,99,3430,99,49,3381,0,1.0,0.9857142857142858,0.9928571428571429,0.668918918918919,1.0,0.8016194331983806,0.9987749212239008,0.9273645170804174,0.01379414653974636,0.039261066155965724
Drug Rash,0.5,104,3425,104,100,3325,0,1.0,0.9708029197080292,0.9854014598540146,0.5098039215686274,1.0,0.6753246753246753,0.9948708590679394,0.6924918762586063,0.027590986501463525,0.06469638685743487
Herpes Simplex,0.5,100,3429,100,23,3406,0,1.0,0.9932925051035287,0.9966462525517643,0.8130081300813008,1.0,0.8968609865470852,0.9995188101487313,0.975609109997626,0.009491079196766287,0.03071368780359861
Impetigo,0.5,85,3444,85,44,3400,0,1.0,0.9872241579558653,0.9936120789779326,0.6589147286821705,1.0,0.794392523364486,0.999169911867186,0.9532930051301463,0.013167296983127946,0.038017509306459536
Acute Dermatitis NOS,0.5,87,3442,87,51,3391,0,1.0,0.9851830331202789,0.9925915165601394,0.6304347826086957,1.0,0.7733333333333333,0.9998096535694966,0.9918647085119434,0.01476786727149538,0.04254356895126005
Hypersensitivity,0.5,79,3450,79,41,3409,0,1.0,0.9881159420289856,0.9940579710144928,0.6583333333333333,1.0,0.7939698492462312,0.9983452577508715,0.8271358046093282,0.01320622508795815,0.039759212644684516
Acne,0.5,69,3460,69,2,3458,0,1.0,0.999421965317919,0.9997109826589595,0.971830985915493,1.0,0.9857142857142858,0.9999999999999999,0.9999999999999997,0.0021283091963086166,0.014313397461409045
Pigmented Purpuric Eruption,0.5,69,3460,69,10,3450,0,1.0,0.9971098265895953,0.9985549132947977,0.8734177215189873,1.0,0.9324324324324325,1.0,0.9999999999999998,0.0046366285449334155,0.021384062907012648
Leukocytoclastic Vasculitis,0.5,69,3460,69,9,3451,0,1.0,0.9973988439306358,0.9986994219653179,0.8846153846153846,1.0,0.9387755102040817,0.9999958113428834,0.9997929606625255,0.00402571250787439,0.018421725965082285
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,4,3463,0,1.0,0.9988462647822325,0.9994231323911162,0.9393939393939394,1.0,0.96875,1.0,1.0,0.0027047008211165766,0.016835644827169764
Pityriasis Rosea,0.5,56,3473,56,9,3464,0,1.0,0.997408580477973,0.9987042902389864,0.8615384615384616,1.0,0.9256198347107438,1.0,1.0,0.002678769669958576,0.014697372127084678
Viral Exanthem,0.5,57,3472,57,9,3463,0,1.0,0.9974078341013825,0.9987039170506913,0.8636363636363636,1.0,0.926829268292683,1.0,1.0000000000000004,0.0033372283103367973,0.016686140740010885
Lichen Simplex Chronicus,0.5,55,3474,55,3,3471,0,1.0,0.9991364421416234,0.9995682210708117,0.9482758620689655,1.0,0.9734513274336283,1.0,1.0,0.0019405557405394634,0.013648855997341064
Stasis Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.0011405922543972634,0.010587147674550207
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010993537069665439,0.010288731508749205
CD - Contact Dermatitis,0.5,49,3480,49,3,3477,0,1.0,0.9991379310344828,0.9995689655172414,0.9423076923076923,1.0,0.9702970297029703,0.9999999999999999,1.0000000000000002,0.002810524224786942,0.0184174261152039
Scabies,0.5,44,3485,44,1,3484,0,1.0,0.999713055954089,0.9998565279770445,0.9777777777777777,1.0,0.9887640449438202,1.0,0.9999999999999999,0.0014518995224142928,0.012168999622578374
