label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,740,2789,740,1,2788,0,1.0,0.9996414485478666,0.9998207242739333,0.9986504723346828,1.0,0.9993247805536799,0.9999995154710106,0.9999963526279316,0.026220345981270675,0.1501961237717413
Allergic Contact Dermatitis,0.5,613,2916,613,4,2912,0,1.0,0.9986282578875172,0.9993141289437586,0.993517017828201,1.0,0.9967479674796748,0.9999972028097217,0.9999814448644534,0.023867225921928616,0.14161712994368608
Insect Bite,0.5,282,3247,282,0,3247,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009800993094256057,0.08449655237555491
Urticaria,0.5,232,3297,232,0,3297,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006820737434799492,0.06892399483643463
Psoriasis,0.5,216,3313,216,0,3313,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005924921811865706,0.06941453354743238
Folliculitis,0.5,188,3341,188,2,3339,0,1.0,0.9994013768332835,0.9997006884166417,0.9894736842105263,1.0,0.9947089947089947,0.9999984079171098,0.9999440089585666,0.006185398622831855,0.059279769119666925
Irritant Contact Dermatitis,0.5,174,3355,174,1,3354,0,1.0,0.9997019374068554,0.9998509687034277,0.9942857142857143,1.0,0.997134670487106,0.9999991434982956,0.9999671592775041,0.004472391268970702,0.05905811355684633
Tinea,0.5,144,3385,144,0,3385,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003661022777760286,0.05206574100311702
Herpes Zoster,0.5,99,3430,99,0,3430,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.002734200574429157,0.03122445766820944
Drug Rash,0.5,104,3425,104,0,3425,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002648542587170149,0.038754447278108374
Herpes Simplex,0.5,100,3429,100,0,3429,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022878649216894233,0.030873398192752116
Impetigo,0.5,85,3444,85,0,3444,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018434915812194552,0.031171720034003966
Acute Dermatitis NOS,0.5,87,3442,87,0,3442,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016796486081812427,0.03149853594030414
Hypersensitivity,0.5,79,3450,79,0,3450,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014661479487421678,0.028608828437391768
Acne,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0012638466463062666,0.019751896980573662
Pigmented Purpuric Eruption,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012149037603769823,0.02500409307011744
Leukocytoclastic Vasculitis,0.5,69,3460,69,0,3460,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013772981539204269,0.024278517678914393
Lichen Planus Lichenoid Eruption,0.5,62,3467,62,0,3467,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009177552658921319,0.02391187305185605
Pityriasis Rosea,0.5,56,3473,56,0,3473,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010094337394918297,0.019426812757784705
Viral Exanthem,0.5,57,3472,57,0,3472,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010527302002106007,0.020833569471993954
Lichen Simplex Chronicus,0.5,55,3474,55,0,3474,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006629855273238669,0.01918579389817701
Stasis Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007594082889917405,0.01611410220081232
Keratosis Pilaris,0.5,43,3486,43,0,3486,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.0006402665393267077,0.016858726110638836
CD - Contact Dermatitis,0.5,49,3480,49,0,3480,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006855929179391917,0.02200749346683039
Scabies,0.5,44,3485,44,0,3485,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0005932648881052584,0.01675057460407418
