label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,5,4,8,2,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.5555555555555556,0.7142857142857143,0.625,0.6190476190476191,0.481859410430839,0.22775951862022978,0.11114010755994932
Allergic Contact Dermatitis,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.625,0.3176638176638177,0.12979244174860774,0.09665931506784484
Insect Bite,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.6111111111111112,0.125,0.0533956606987672,0.06036993791082629
Urticaria,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0804093567251462,0.11928858664922103,0.22981754811175856
Psoriasis,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.2708333333333333,0.14484126984126983,0.1455661720936807,0.11501688838636136
Folliculitis,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.08823529411764708,0.08680555555555555,0.11576740120212163,0.10923829469170566
Irritant Contact Dermatitis,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0804093567251462,0.1110975261850695,0.07720738373269127
Tinea,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.05555555555555558,0.05555555555555555,0.058328097881826226,0.07804483709101277
Herpes Zoster,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0804093567251462,0.10795317169169723,0.07687062896281763
Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.55,0.2749542124542125,0.16649678485889438,0.06660442479911441
Herpes Simplex,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.16666666666666663,0.0625,0.055320752821369314,0.06789967398907626
Impetigo,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015796433459777067,0.03218649571832976
Acute Dermatitis NOS,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.625,0.3176638176638177,0.12979200213787373,0.0966586836024136
Hypersensitivity,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.16666666666666663,0.0625,0.0532892938591187,0.05776712463784227
Acne,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.16666666666666663,0.0625,0.05532068677968969,0.06789941339868763
Pigmented Purpuric Eruption,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.05555555555555558,0.05555555555555555,0.05832808174620323,0.07804477721509724
Leukocytoclastic Vasculitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.6111111111111112,0.125,0.05339562357486892,0.06036975866107898
Lichen Planus Lichenoid Eruption,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.9375,0.8333333333333333,0.1064180500455464,0.192089644673821
Pityriasis Rosea,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.7222222222222222,0.16666666666666666,0.053286448458973026,0.06116385316363834
Viral Exanthem,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.9705882352941176,0.8333333333333333,0.07763581929242641,0.10823847621151847
Lichen Simplex Chronicus,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.04028404285327626,0.0981468086261415
Stasis Dermatitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.04028403024787453,0.09814679206310663
Keratosis Pilaris,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.039609850389353184,0.11692014794836711
CD - Contact Dermatitis,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.16666666666666663,0.0625,0.053289119836551505,0.05776718609204072
Scabies,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0804093567251462,0.10516628943743436,0.061545466596914844
