label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,7,12,0,0,1.0,0.0,0.5,0.3684210526315789,1.0,0.5384615384615384,0.5595238095238095,0.44548872180451127,0.26247062632435403,0.17528727180079412
Allergic Contact Dermatitis,0.5,3,16,3,14,2,0,1.0,0.125,0.5625,0.17647058823529413,1.0,0.3,0.875,0.6805555555555556,0.27281256088468103,0.38608678704813904
Insect Bite,0.5,1,18,1,12,6,0,1.0,0.3333333333333333,0.6666666666666666,0.07692307692307693,1.0,0.14285714285714285,1.0,1.0,0.2693193337002026,0.4800987243652344
Urticaria,0.5,2,17,1,2,15,1,0.5,0.8823529411764706,0.6911764705882353,0.3333333333333333,0.5,0.4,0.6176470588235294,0.24358974358974358,0.2322066353619665,0.373515574555648
Psoriasis,0.5,3,16,0,1,15,3,0.0,0.9375,0.46875,0.0,0.0,0.0,0.7708333333333333,0.37777777777777777,0.21766200899831484,0.30062722846081386
Folliculitis,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.6470588235294117,0.2159090909090909,0.21893153597028836,0.35442511815773814
Irritant Contact Dermatitis,0.5,2,17,2,16,1,0,1.0,0.058823529411764705,0.5294117647058824,0.1111111111111111,1.0,0.2,1.0,1.0,0.2999641419016281,0.5023956832132841
Tinea,0.5,1,18,1,7,11,0,1.0,0.6111111111111112,0.8055555555555556,0.125,1.0,0.2222222222222222,1.0,1.0,0.23105627174004262,0.4352189584782249
Herpes Zoster,0.5,2,17,2,14,3,0,1.0,0.17647058823529413,0.5882352941176471,0.125,1.0,0.2222222222222222,0.9117647058823529,0.7,0.27357562341265956,0.43182744477924545
Drug Rash,0.5,4,15,4,10,5,0,1.0,0.3333333333333333,0.6666666666666666,0.2857142857142857,1.0,0.4444444444444444,0.8333333333333333,0.7071428571428571,0.25036829315865705,0.30286675064187296
Herpes Simplex,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2000326953370831,0.4467646385494031
Impetigo,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2154720285026111,0.4616424645248212
Acute Dermatitis NOS,0.5,3,16,3,5,11,0,1.0,0.6875,0.84375,0.375,1.0,0.5454545454545454,0.9791666666666666,0.9166666666666665,0.2336435810158011,0.33938036153191015
Hypersensitivity,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20724087091172314,0.45480201118870783
Acne,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.21270479664289468,0.413105098824752
Pigmented Purpuric Eruption,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16274786967809565,0.4015054012599744
Leukocytoclastic Vasculitis,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.31090525242208633,0.5205404727082503
Lichen Planus Lichenoid Eruption,0.5,3,16,1,7,9,2,0.3333333333333333,0.5625,0.44791666666666663,0.125,0.3333333333333333,0.18181818181818182,0.5208333333333333,0.28888888888888886,0.24490966982239928,0.33531272254492106
Pityriasis Rosea,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1740778692192845,0.4159632921218872
Viral Exanthem,0.5,2,17,1,0,17,1,0.5,1.0,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,0.20072726680841374,0.3932446711941769
Lichen Simplex Chronicus,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.19608441782110758,0.44122845405026484
Stasis Dermatitis,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.22015524893454988,0.46665748483256286
Keratosis Pilaris,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0,0.3196697907447457,0.5605676989806325
CD - Contact Dermatitis,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.31845052921239586,0.5259196036740353
Scabies,0.5,2,17,2,12,5,0,1.0,0.29411764705882354,0.6470588235294118,0.14285714285714285,1.0,0.25,0.8235294117647058,0.625,0.2540678972618965,0.40519685023709345
