label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,4,2,10,3,0.5714285714285714,0.8333333333333334,0.7023809523809523,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6547619047619047,0.73484393757503,0.23916232199802098,0.21450379177143697
Allergic Contact Dermatitis,0.5,3,16,3,12,4,0,1.0,0.25,0.625,0.2,1.0,0.3333333333333333,0.7708333333333333,0.5833333333333333,0.2623023290522005,0.36851944421467026
Insect Bite,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.1778527413836156,0.37376493215560913
Urticaria,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,1.0,1.0,0.3134084284146651,0.4803304013453032
Psoriasis,0.5,3,16,3,16,0,0,1.0,0.0,0.5,0.15789473684210525,1.0,0.2727272727272727,0.7708333333333333,0.7380952380952381,0.3369410269601197,0.4608910303366811
Folliculitis,0.5,2,17,2,11,6,0,1.0,0.35294117647058826,0.6764705882352942,0.15384615384615385,1.0,0.26666666666666666,1.0,1.0,0.2542201561927853,0.4142914445776688
Irritant Contact Dermatitis,0.5,2,17,2,16,1,0,1.0,0.058823529411764705,0.5294117647058824,0.1111111111111111,1.0,0.2,0.7352941176470588,0.24285714285714285,0.29871189641735785,0.4549015368285932
Tinea,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.2021150907322408,0.3986601123684331
Herpes Zoster,0.5,2,17,2,16,1,0,1.0,0.058823529411764705,0.5294117647058824,0.1111111111111111,1.0,0.2,0.5,0.16666666666666669,0.2817119657155073,0.4323555811455375
Drug Rash,0.5,4,15,4,11,4,0,1.0,0.26666666666666666,0.6333333333333333,0.26666666666666666,1.0,0.42105263157894735,0.6000000000000001,0.4625,0.2561855973371852,0.30483171186949076
Herpes Simplex,0.5,1,18,0,2,16,1,0.0,0.8888888888888888,0.4444444444444444,0.0,0.0,0.0,0.8888888888888888,0.3333333333333333,0.20948534251266804,0.4030173624816693
Impetigo,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.21940998456306993,0.4666807416238283
Acute Dermatitis NOS,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.7291666666666666,0.33535353535353535,0.2002555125247449,0.27229249477386475
Hypersensitivity,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.23638032923325325,0.48495261606417206
Acne,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,0.9444444444444444,0.5,0.18113168501509816,0.36911871088178533
Pigmented Purpuric Eruption,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.2592443553894414,0.5067934519366214
Leukocytoclastic Vasculitis,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0,0.3079183568026066,0.5489502015866732
Lichen Planus Lichenoid Eruption,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.375,0.1597222222222222,0.2187192242657979,0.28707721201997055
Pityriasis Rosea,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.31945055255846194,0.5261037632038719
Viral Exanthem,0.5,2,17,2,8,9,0,1.0,0.5294117647058824,0.7647058823529411,0.2,1.0,0.3333333333333333,0.8823529411764706,0.6666666666666666,0.2391779348124051,0.3926610083956467
Lichen Simplex Chronicus,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0,0.29250988705454634,0.5359669861040617
Stasis Dermatitis,0.5,1,18,1,9,9,0,1.0,0.5,0.75,0.1,1.0,0.18181818181818182,1.0,1.0,0.24565898769586667,0.4921745814775166
Keratosis Pilaris,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2049914505218975,0.4518470042630246
CD - Contact Dermatitis,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.21097399972446437,0.4096121270405619
Scabies,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.6470588235294117,0.2159090909090909,0.22012468729607634,0.3567187268483011
