label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,2,2,10,5,0.2857142857142857,0.8333333333333334,0.5595238095238095,0.5,0.2857142857142857,0.36363636363636365,0.6785714285714286,0.638188608776844,0.23429939288899113,0.09486825058334754
Allergic Contact Dermatitis,0.5,3,16,0,2,14,3,0.0,0.875,0.4375,0.0,0.0,0.0,0.7083333333333333,0.3547008547008547,0.21116678316663381,0.2909319212562159
Insect Bite,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.34359061749402026,0.5811626032779091
Urticaria,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.7647058823529411,0.3611111111111111,0.18163277293222757,0.30168557010198893
Psoriasis,0.5,3,16,3,16,0,0,1.0,0.0,0.5,0.15789473684210525,1.0,0.2727272727272727,0.7291666666666666,0.30277777777777776,0.3266967358319239,0.443933085391396
Folliculitis,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,1.0,1.0,0.27302939584544683,0.5194004272159777
Irritant Contact Dermatitis,0.5,2,17,2,14,3,0,1.0,0.17647058823529413,0.5882352941176471,0.125,1.0,0.2222222222222222,1.0,1.0,0.25926607729892454,0.4207518288963719
Tinea,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.2181700150902138,0.4663736286916231
Herpes Zoster,0.5,2,17,1,1,16,1,0.5,0.9411764705882353,0.7205882352941176,0.5,0.5,0.5,0.9117647058823529,0.5,0.2169922341302085,0.3597532040194461
Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.5166666666666666,0.24642857142857144,0.21470774243854676,0.21871766291166606
Herpes Simplex,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12583660598539015,0.35358459384817825
Impetigo,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.1999478824716962,0.44558300156342356
Acute Dermatitis NOS,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.625,0.47883597883597884,0.20782765600009057,0.2771421310148741
Hypersensitivity,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.17981865342748274,0.37719728131043284
Acne,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.21199607568441156,0.4590618908405304
Pigmented Purpuric Eruption,0.5,1,18,1,3,15,0,1.0,0.8333333333333334,0.9166666666666667,0.25,1.0,0.4,1.0,1.0,0.22471189716240383,0.4730032588306226
Leukocytoclastic Vasculitis,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.21467282103530066,0.46189940289447173
Lichen Planus Lichenoid Eruption,0.5,3,16,1,3,13,2,0.3333333333333333,0.8125,0.5729166666666666,0.25,0.3333333333333333,0.2857142857142857,0.8541666666666666,0.4666666666666667,0.23279323996915105,0.32434409856796265
Pityriasis Rosea,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.33037511184036067,0.5685641577369288
Viral Exanthem,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.9411764705882353,0.5833333333333333,0.2855720198251841,0.44471545595871775
Lichen Simplex Chronicus,0.5,1,18,0,0,18,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.12606605401868498,0.35042197610202586
Stasis Dermatitis,0.5,1,18,1,3,15,0,1.0,0.8333333333333334,0.9166666666666667,0.25,1.0,0.4,1.0,1.0,0.2166958968833127,0.42089769871611343
Keratosis Pilaris,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.35238145806546006,0.5879157060071041
CD - Contact Dermatitis,0.5,1,18,1,17,1,0,1.0,0.05555555555555555,0.5277777777777778,0.05555555555555555,1.0,0.10526315789473684,1.0,1.0,0.2902088826529503,0.5346297433501795
Scabies,0.5,2,17,1,1,16,1,0.5,0.9411764705882353,0.7205882352941176,0.5,0.5,0.5,0.9411764705882353,0.75,0.19973160864851783,0.3420241506476151
