label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,5,8,4,2,0.7142857142857143,0.3333333333333333,0.5238095238095238,0.38461538461538464,0.7142857142857143,0.5,0.5476190476190477,0.5325326302769913,0.2597314121690592,0.24967583700230245
Allergic Contact Dermatitis,0.5,3,16,3,14,2,0,1.0,0.125,0.5625,0.17647058823529413,1.0,0.3,0.6458333333333333,0.48333333333333334,0.310379008966177,0.42777940787767105
Insect Bite,0.5,1,18,1,15,3,0,1.0,0.16666666666666666,0.5833333333333334,0.0625,1.0,0.11764705882352941,1.0,1.0,0.31565057151413245,0.5499219815982016
Urticaria,0.5,2,17,1,3,14,1,0.5,0.8235294117647058,0.6617647058823529,0.25,0.5,0.3333333333333333,0.8235294117647058,0.3333333333333333,0.22446575929511048,0.3673628270626068
Psoriasis,0.5,3,16,2,6,10,1,0.6666666666666666,0.625,0.6458333333333333,0.25,0.6666666666666666,0.36363636363636365,0.8333333333333333,0.6111111111111112,0.22979261812157625,0.3313295245170593
Folliculitis,0.5,2,17,2,8,9,0,1.0,0.5294117647058824,0.7647058823529411,0.2,1.0,0.3333333333333333,1.0,1.0,0.23805450672992762,0.4845626150306902
Irritant Contact Dermatitis,0.5,2,17,2,4,13,0,1.0,0.7647058823529411,0.8823529411764706,0.3333333333333333,1.0,0.5,1.0,1.0,0.1998579466450589,0.4010712520072335
Tinea,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.18782026798482895,0.4272271959405196
Herpes Zoster,0.5,2,17,2,13,4,0,1.0,0.23529411764705882,0.6176470588235294,0.13333333333333333,1.0,0.23529411764705882,0.8823529411764706,0.41666666666666663,0.268043472071901,0.43026537016818395
Drug Rash,0.5,4,15,4,10,5,0,1.0,0.3333333333333333,0.6666666666666666,0.2857142857142857,1.0,0.4444444444444444,0.8833333333333334,0.6845238095238095,0.2508822354277356,0.35833374450081273
Herpes Simplex,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.16681529960368324,0.4032730726819289
Impetigo,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.20657336748336083,0.4483639033217179
Acute Dermatitis NOS,0.5,3,16,2,3,13,1,0.6666666666666666,0.8125,0.7395833333333333,0.4,0.6666666666666666,0.5,0.6875,0.45138888888888884,0.2354386497031724,0.3321445301959389
Hypersensitivity,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16823894766076866,0.4075348220373454
Acne,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.18324548680363134,0.42482507542559983
Pigmented Purpuric Eruption,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.21895884954107028,0.46078133583068837
Leukocytoclastic Vasculitis,0.5,1,18,1,6,12,0,1.0,0.6666666666666666,0.8333333333333333,0.14285714285714285,1.0,0.25,1.0,1.0,0.23606310141306275,0.4800329584824411
Lichen Planus Lichenoid Eruption,0.5,3,16,2,6,10,1,0.6666666666666666,0.625,0.6458333333333333,0.25,0.6666666666666666,0.36363636363636365,0.8125,0.6464646464646464,0.2278901493855859,0.3744488625149977
Pityriasis Rosea,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.19113021908410954,0.4318061831750368
Viral Exanthem,0.5,2,17,2,11,6,0,1.0,0.35294117647058826,0.6764705882352942,0.15384615384615385,1.0,0.26666666666666666,1.0,1.0,0.24873705669403598,0.493985326666581
Lichen Simplex Chronicus,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.21419982895273443,0.4556082032228771
Stasis Dermatitis,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.18307181218236057,0.42258246164572866
Keratosis Pilaris,0.5,1,18,1,3,15,0,1.0,0.8333333333333334,0.9166666666666667,0.25,1.0,0.4,1.0,1.0,0.1986864943683803,0.443000465631485
CD - Contact Dermatitis,0.5,1,18,1,8,10,0,1.0,0.5555555555555556,0.7777777777777778,0.1111111111111111,1.0,0.2,1.0,1.0,0.23696317252100382,0.48253041192104934
Scabies,0.5,2,17,2,6,11,0,1.0,0.6470588235294118,0.8235294117647058,0.25,1.0,0.4,0.9411764705882353,0.75,0.23134886141232178,0.428665501506705
