split,aggregation,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
validation,probability_ensemble,Eczema,0.5,159,596,139,393,203,20,0.8742138364779874,0.34060402684563756,0.6074089316618125,0.26127819548872183,0.8742138364779874,0.402315484804631,0.714649022835676,0.37219698752562214,0.2720503087995844,0.34672769498351397
validation,probability_ensemble,Allergic Contact Dermatitis,0.5,131,624,114,337,287,17,0.8702290076335878,0.4599358974358974,0.6650824525347426,0.25277161862527714,0.8702290076335878,0.3917525773195876,0.744176942650225,0.405863425210625,0.25430033942085756,0.35328784367698707
validation,probability_ensemble,Insect Bite,0.5,61,694,48,205,489,13,0.7868852459016393,0.7046109510086456,0.7457480984551424,0.18972332015810275,0.7868852459016393,0.3057324840764331,0.8223650021259508,0.31050854771289016,0.1880698848550697,0.32812322601651317
validation,probability_ensemble,Urticaria,0.5,50,705,44,156,549,6,0.88,0.7787234042553192,0.8293617021276596,0.22,0.88,0.352,0.9067801418439716,0.4611923345990825,0.1495330461841464,0.28800450446750253
validation,probability_ensemble,Psoriasis,0.5,46,709,31,142,567,15,0.6739130434782609,0.7997179125528914,0.7368154780155761,0.1791907514450867,0.6739130434782609,0.2831050228310502,0.8114613356227387,0.34446024731397307,0.1487295935810448,0.2766753820074562
validation,probability_ensemble,Folliculitis,0.5,40,715,28,130,585,12,0.7,0.8181818181818182,0.759090909090909,0.17721518987341772,0.7,0.2828282828282828,0.8583566433566433,0.3015281060858006,0.12717619041935854,0.23913741500369762
validation,probability_ensemble,Irritant Contact Dermatitis,0.5,38,717,26,190,527,12,0.6842105263157895,0.7350069735006973,0.7096087499082434,0.12037037037037036,0.6842105263157895,0.2047244094488189,0.7725904719958893,0.17083241277398808,0.17836144642756466,0.3324692470799909
validation,probability_ensemble,Tinea,0.5,31,724,21,128,596,10,0.6774193548387096,0.8232044198895028,0.7503118873641061,0.14093959731543623,0.6774193548387096,0.23333333333333334,0.7829263945820709,0.2358622293282711,0.12851517851078417,0.2529524337200584
validation,probability_ensemble,Herpes Zoster,0.5,22,733,15,75,658,7,0.6818181818181818,0.897680763983629,0.7897494729009054,0.16666666666666666,0.6818181818181818,0.26785714285714285,0.8818677911447351,0.34835030263490047,0.07763290956182968,0.16980608726265708
validation,probability_ensemble,Drug Rash,0.5,22,733,13,92,641,9,0.5909090909090909,0.8744884038199181,0.7326987473645046,0.12380952380952381,0.5909090909090909,0.2047244094488189,0.8587374426392163,0.36544081506516857,0.10351253288611202,0.23597394079821096
validation,probability_ensemble,Herpes Simplex,0.5,21,734,16,68,666,5,0.7619047619047619,0.9073569482288828,0.8346308550668223,0.19047619047619047,0.7619047619047619,0.3047619047619048,0.9176722460101208,0.48793699531115575,0.0693961096970598,0.155488871438768
validation,probability_ensemble,Impetigo,0.5,18,737,11,92,645,7,0.6111111111111112,0.8751696065128901,0.7431403588120007,0.10679611650485436,0.6111111111111112,0.18181818181818182,0.8911503090607569,0.3465080957779675,0.09125882792046387,0.1997434431720611
validation,probability_ensemble,Acute Dermatitis NOS,0.5,18,737,9,146,591,9,0.5,0.8018995929443691,0.6509497964721845,0.05806451612903226,0.5,0.10404624277456648,0.7974521332730288,0.09237827812039887,0.1343702483851928,0.2585786627026719
validation,probability_ensemble,Hypersensitivity,0.5,17,738,11,131,607,6,0.6470588235294118,0.8224932249322493,0.7347760242308305,0.07746478873239436,0.6470588235294118,0.13836477987421383,0.8228120516499282,0.19608176737607597,0.12006752518583885,0.24673023730645952
validation,probability_ensemble,Acne,0.5,14,741,9,35,706,5,0.6428571428571429,0.9527665317139001,0.7978118372855215,0.20454545454545456,0.6428571428571429,0.3103448275862069,0.962309620204357,0.4814949530852495,0.04138844708922293,0.10990149541981577
validation,probability_ensemble,Pigmented Purpuric Eruption,0.5,14,741,12,54,687,2,0.8571428571428571,0.9271255060728745,0.8921341816078658,0.18181818181818182,0.8571428571428571,0.3,0.9626951995373049,0.325046416883424,0.05412508657047184,0.13036870866047137
validation,probability_ensemble,Leukocytoclastic Vasculitis,0.5,15,740,9,53,687,6,0.6,0.9283783783783783,0.7641891891891892,0.14516129032258066,0.6,0.23376623376623376,0.8940540540540541,0.27274966142434737,0.06211773205659619,0.13735670611612338
validation,probability_ensemble,Lichen Planus Lichenoid Eruption,0.5,13,742,4,54,688,9,0.3076923076923077,0.9272237196765498,0.6174580136844288,0.06896551724137931,0.3076923076923077,0.11267605633802817,0.7699564586357038,0.06811710506277405,0.06368830548502831,0.14230090318478963
validation,probability_ensemble,Pityriasis Rosea,0.5,12,743,10,44,699,2,0.8333333333333334,0.9407806191117093,0.8870569762225213,0.18518518518518517,0.8333333333333334,0.30303030303030304,0.961978465679677,0.36414795493106433,0.04663199543457723,0.1206788751407409
validation,probability_ensemble,Viral Exanthem,0.5,12,743,7,53,690,5,0.5833333333333334,0.9286675639300135,0.7560004486316734,0.11666666666666667,0.5833333333333334,0.19444444444444445,0.9024226110363391,0.24206650772036398,0.05741283213253444,0.13356920608734119
validation,probability_ensemble,Lichen Simplex Chronicus,0.5,12,743,7,47,696,5,0.5833333333333334,0.9367429340511441,0.7600381336922387,0.12962962962962962,0.5833333333333334,0.21212121212121213,0.879654553611485,0.11024723947788413,0.05559821975780983,0.13926903187864711
