label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,739,2784,714,1634,1150,25,0.9661705006765899,0.4130747126436782,0.6896226066601341,0.3040885860306644,0.9661705006765899,0.46258503401360546,0.8160606034093912,0.5207737460051164,0.25351178646087646,0.340880050345845
Allergic Contact Dermatitis,0.5,611,2912,594,1416,1496,17,0.972176759410802,0.5137362637362637,0.7429565115735328,0.2955223880597015,0.972176759410802,0.4532621136970622,0.8515438121616519,0.5194136569050447,0.23384687304496765,0.3447483022663697
Insect Bite,0.5,282,3241,279,958,2283,3,0.9893617021276596,0.7044122184510954,0.8468869602893775,0.2255456750202102,0.9893617021276596,0.3673469387755102,0.9324709342401545,0.47320518750611323,0.1786922961473465,0.3341779315988516
Urticaria,0.5,232,3291,232,649,2642,0,1.0,0.8027955028866606,0.9013977514433302,0.2633371169125993,1.0,0.4168912848158131,0.9610733033665483,0.5892799161405371,0.13432256877422333,0.2752648865147947
Psoriasis,0.5,216,3307,215,706,2601,1,0.9953703703703703,0.786513456304808,0.8909419133375891,0.23344191096634093,0.9953703703703703,0.3781882145998241,0.9556664314753217,0.5275082084478439,0.14342138171195984,0.289500875952076
Folliculitis,0.5,188,3335,188,647,2688,0,1.0,0.8059970014992504,0.9029985007496252,0.2251497005988024,1.0,0.3675464320625611,0.9662844109859964,0.5381345154568475,0.12788845598697662,0.2662822624651032
Irritant Contact Dermatitis,0.5,174,3349,174,936,2413,0,1.0,0.720513586145118,0.860256793072559,0.15675675675675677,1.0,0.27102803738317754,0.953013937939958,0.47954363723646865,0.16949400305747986,0.3391335499691009
Tinea,0.5,144,3379,144,654,2725,0,1.0,0.8064516129032258,0.9032258064516129,0.18045112781954886,1.0,0.3057324840764331,0.9699615270790175,0.49270942015875163,0.1365405023097992,0.2949565338024253
Herpes Zoster,0.5,99,3424,99,363,3061,0,1.0,0.8939836448598131,0.9469918224299065,0.21428571428571427,1.0,0.35294117647058826,0.9874002879259889,0.5920289254906338,0.07826453447341919,0.1909033740185182
Drug Rash,0.5,104,3419,104,410,3009,0,1.0,0.8800818952910208,0.9400409476455104,0.20233463035019456,1.0,0.3365695792880259,0.9867735730195515,0.5717976329312939,0.08899456262588501,0.21666584068842143
Herpes Simplex,0.5,99,3424,99,343,3081,0,1.0,0.8998247663551402,0.9499123831775701,0.2239819004524887,1.0,0.3659889094269871,0.9911940668365903,0.7112137364433005,0.07219763845205307,0.17571033615636922
Impetigo,0.5,85,3438,85,462,2976,0,1.0,0.8656195462478184,0.9328097731239092,0.15539305301645337,1.0,0.2689873417721519,0.9860520822639702,0.530377312119308,0.09510613977909088,0.21951802058624945
Acute Dermatitis NOS,0.5,87,3436,87,614,2822,0,1.0,0.8213038416763678,0.9106519208381839,0.12410841654778887,1.0,0.22081218274111675,0.9763926244095648,0.3890076773190789,0.11583510786294937,0.24895900046955682
Hypersensitivity,0.5,79,3444,79,545,2899,0,1.0,0.841753774680604,0.9208768873403019,0.1266025641025641,1.0,0.22475106685633,0.9838537761507814,0.4417257316362599,0.1055380329489708,0.2398951434988445
Acne,0.5,69,3454,69,190,3264,0,1.0,0.944991314418066,0.9724956572090331,0.26640926640926643,1.0,0.42073170731707316,0.9945159151750124,0.7258587081496571,0.04282531142234802,0.11822789724944768
Pigmented Purpuric Eruption,0.5,69,3454,69,223,3231,0,1.0,0.9354371742906775,0.9677185871453388,0.2363013698630137,1.0,0.38227146814404434,0.992548022456635,0.5889762977611531,0.04876245930790901,0.12751073631125692
Leukocytoclastic Vasculitis,0.5,69,3454,69,285,3169,0,1.0,0.917486971627099,0.9587434858135495,0.19491525423728814,1.0,0.3262411347517731,0.9958208504317616,0.7364045944976916,0.0597095787525177,0.15365968919125192
Lichen Planus Lichenoid Eruption,0.5,62,3461,62,274,3187,0,1.0,0.9208321294423577,0.9604160647211788,0.18452380952380953,1.0,0.31155778894472363,0.9953770586535684,0.6692224870732827,0.06289410591125488,0.1680121491889181
Pityriasis Rosea,0.5,56,3467,56,187,3280,0,1.0,0.9460628785693683,0.9730314392846842,0.23045267489711935,1.0,0.3745819397993311,0.9953850591289299,0.6296310136648614,0.04253331944346428,0.12103211682838638
Viral Exanthem,0.5,57,3466,57,245,3221,0,1.0,0.9293133294864397,0.9646566647432199,0.18874172185430463,1.0,0.31754874651810583,0.9942903999757038,0.6303842871972221,0.05189225450158119,0.13132555147920044
Lichen Simplex Chronicus,0.5,55,3468,55,242,3226,0,1.0,0.9302191464821222,0.9651095732410611,0.18518518518518517,1.0,0.3125,0.9980864003355353,0.8424736775492071,0.05972231179475784,0.1692767922483383
Stasis Dermatitis,0.5,49,3474,49,173,3301,0,1.0,0.9502014968336212,0.9751007484168106,0.22072072072072071,1.0,0.36162361623616235,0.9942194494378063,0.5649772784070503,0.039235103875398636,0.10871639701831487
Keratosis Pilaris,0.5,43,3480,43,190,3290,0,1.0,0.9454022988505747,0.9727011494252873,0.18454935622317598,1.0,0.3115942028985507,0.9951684041700081,0.5744757828742175,0.043710969388484955,0.11949912440999307
CD - Contact Dermatitis,0.5,49,3474,49,434,3040,0,1.0,0.8750719631548647,0.9375359815774323,0.10144927536231885,1.0,0.18421052631578946,0.9922279792746114,0.5143697072203389,0.08911789953708649,0.2204674513275113
Scabies,0.5,44,3479,44,213,3266,0,1.0,0.9387755102040817,0.9693877551020409,0.17120622568093385,1.0,0.292358803986711,0.9970276202670568,0.7416140787718457,0.05097787827253342,0.14463931833043067
