label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,739,2784,714,1675,1109,25,0.9661705006765899,0.3983477011494253,0.6822591009130077,0.2988698200083717,0.9661705006765899,0.45652173913043476,0.8165967232047037,0.5331470796390844,0.25678175687789917,0.345900982948247
Allergic Contact Dermatitis,0.5,611,2912,601,1557,1355,10,0.983633387888707,0.4653159340659341,0.7244746609773205,0.278498609823911,0.983633387888707,0.43409172986637773,0.8578917757774142,0.5377035263025075,0.24722743034362793,0.3636387295930046
Insect Bite,0.5,282,3241,281,893,2348,1,0.9964539007092199,0.7244677568651651,0.8604608287871924,0.2393526405451448,0.9964539007092199,0.385989010989011,0.9360290690422577,0.47509513251308766,0.17721731960773468,0.3354610208757147
Urticaria,0.5,232,3291,232,781,2510,0,1.0,0.7626861136432695,0.8813430568216347,0.22902270483711748,1.0,0.37269076305220883,0.9634701222770565,0.6095243038728593,0.14855799078941345,0.29624892305767814
Psoriasis,0.5,216,3307,216,770,2537,0,1.0,0.7671605684910795,0.8835802842455398,0.21906693711967545,1.0,0.3594009983361065,0.960396857395648,0.5545812283779418,0.1498662382364273,0.30011427879392716
Folliculitis,0.5,188,3335,188,556,2779,0,1.0,0.8332833583208396,0.9166416791604197,0.25268817204301075,1.0,0.4034334763948498,0.9706753006475486,0.5638651214517412,0.11116731911897659,0.23601551521426745
Irritant Contact Dermatitis,0.5,174,3349,174,1116,2233,0,1.0,0.666766198865333,0.8333830994326665,0.13488372093023257,1.0,0.23770491803278687,0.9583629355820745,0.5413954869240027,0.1885814070701599,0.362254718877428
Tinea,0.5,144,3379,144,743,2636,0,1.0,0.7801124593074874,0.8900562296537438,0.16234498308906425,1.0,0.2793404461687682,0.9704075005754498,0.531283409187137,0.14277556538581848,0.2933445875317476
Herpes Zoster,0.5,99,3424,99,358,3066,0,1.0,0.8954439252336449,0.9477219626168225,0.21663019693654267,1.0,0.35611510791366907,0.9885095109978288,0.6255260077557533,0.07871019840240479,0.19255668774306386
Drug Rash,0.5,104,3419,104,476,2943,0,1.0,0.8607780052646973,0.9303890026323487,0.1793103448275862,1.0,0.30409356725146197,0.9859748689450357,0.5765697555803403,0.10464667528867722,0.24468315348955438
Herpes Simplex,0.5,99,3424,99,344,3080,0,1.0,0.8995327102803738,0.9497663551401869,0.2234762979683973,1.0,0.36531365313653136,0.9923947418106296,0.7639013050361193,0.0735715925693512,0.1762953659457694
Impetigo,0.5,85,3438,85,500,2938,0,1.0,0.85456660849331,0.9272833042466551,0.1452991452991453,1.0,0.2537313432835821,0.9879238955617151,0.5689409547027321,0.09692692756652832,0.2188404789329286
Acute Dermatitis NOS,0.5,87,3436,87,855,2581,0,1.0,0.7511641443538999,0.8755820721769499,0.09235668789808917,1.0,0.16909620991253643,0.9791758660832564,0.4621715875848411,0.15339702367782593,0.29427336131413145
Hypersensitivity,0.5,79,3444,79,596,2848,0,1.0,0.826945412311266,0.9134727061556329,0.11703703703703704,1.0,0.20954907161803712,0.9853864361428425,0.529126821771065,0.10921981930732727,0.2414567698318783
Acne,0.5,69,3454,69,169,3285,0,1.0,0.9510712217718588,0.9755356108859294,0.28991596638655465,1.0,0.4495114006514658,0.9948515898391279,0.7320066524227367,0.03915191441774368,0.11031330234534761
Pigmented Purpuric Eruption,0.5,69,3454,69,274,3180,0,1.0,0.9206716850028952,0.9603358425014477,0.20116618075801748,1.0,0.33495145631067963,0.9943019225766387,0.6580644230710033,0.056660428643226624,0.14019995070454616
Leukocytoclastic Vasculitis,0.5,69,3454,69,259,3195,0,1.0,0.92501447596989,0.962507237984945,0.21036585365853658,1.0,0.34760705289672544,0.9954725879677416,0.7176257793514048,0.05624544620513916,0.14130645114299317
Lichen Planus Lichenoid Eruption,0.5,62,3461,62,203,3258,0,1.0,0.9413464316671483,0.9706732158335741,0.2339622641509434,1.0,0.37920489296636084,0.9957219151652981,0.7471338378011351,0.0481547974050045,0.13685825257000345
Pityriasis Rosea,0.5,56,3467,56,202,3265,0,1.0,0.9417363715027401,0.9708681857513701,0.21705426356589147,1.0,0.35668789808917195,0.9953541555070254,0.6606681163795163,0.04569685086607933,0.12557959273191058
Viral Exanthem,0.5,57,3466,57,261,3205,0,1.0,0.9246970571263704,0.9623485285631852,0.1792452830188679,1.0,0.304,0.9956013808323463,0.6973020926568808,0.054106783121824265,0.13755340830417914
Lichen Simplex Chronicus,0.5,55,3468,55,276,3192,0,1.0,0.9204152249134948,0.9602076124567474,0.1661631419939577,1.0,0.2849740932642487,0.9985215476564957,0.9009306972521315,0.06256332248449326,0.16832109089182618
Stasis Dermatitis,0.5,49,3474,49,256,3218,0,1.0,0.9263097294185377,0.9631548647092689,0.16065573770491803,1.0,0.2768361581920904,0.9931209098492592,0.5314383425008294,0.05362319573760033,0.12686288757331665
Keratosis Pilaris,0.5,43,3480,43,236,3244,0,1.0,0.9321839080459771,0.9660919540229885,0.15412186379928317,1.0,0.2670807453416149,0.9960505212510025,0.6535953193161596,0.0507204644382,0.1240248562778147
CD - Contact Dermatitis,0.5,49,3474,49,535,2939,0,1.0,0.8459988485895221,0.922999424294761,0.0839041095890411,1.0,0.15481832543443919,0.9933088952333956,0.607635910371874,0.10786940902471542,0.25146467095172753
Scabies,0.5,44,3479,44,216,3263,0,1.0,0.9379131934463927,0.9689565967231963,0.16923076923076924,1.0,0.2894736842105263,0.9967597794559565,0.7014797583849627,0.04979695379734039,0.13904798232608986
