label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,739,2784,739,2776,8,0,1.0,0.0028735632183908046,0.5014367816091954,0.21024182076813655,1.0,0.34743770568876353,0.5903493090227552,0.26966326451767253,0.3624456524848938,0.44640973304233666
Allergic Contact Dermatitis,0.5,611,2912,610,2822,90,1,0.9983633387888707,0.030906593406593408,0.5146349660977321,0.17773892773892774,0.9983633387888707,0.301756121691813,0.6541254878509378,0.25966218579177225,0.3467380106449127,0.45738552225235
Insect Bite,0.5,282,3241,281,2992,249,1,0.9964539007092199,0.07682813946312866,0.5366410200861743,0.08585395661472656,0.9964539007092199,0.1580872011251758,0.6967280915399109,0.17401854033516553,0.396397203207016,0.5689337031596972
Urticaria,0.5,232,3291,230,2596,695,2,0.9913793103448276,0.21118201154664235,0.601280660945735,0.08138711960368011,0.9913793103448276,0.15042511445389142,0.8538254801496243,0.36420214972599513,0.3495728671550751,0.5415787527904976
Psoriasis,0.5,216,3307,210,2776,531,6,0.9722222222222222,0.16056849107952828,0.5663953566508753,0.07032819825853985,0.9722222222222222,0.1311680199875078,0.7455453639306073,0.15581384046041458,0.37192997336387634,0.5599340929282581
Folliculitis,0.5,188,3335,180,2301,1034,8,0.9574468085106383,0.3100449775112444,0.6337458930109414,0.07255139056831923,0.9574468085106383,0.1348819782690146,0.8394223101215349,0.30636773358818875,0.3187868893146515,0.5196927598583201
Irritant Contact Dermatitis,0.5,174,3349,173,3303,46,1,0.9942528735632183,0.013735443415945058,0.5039941584895817,0.049769850402761794,0.9942528735632183,0.09479452054794521,0.6858978319141414,0.13904273836305864,0.3940529227256775,0.5891991572947858
Tinea,0.5,144,3379,142,2629,750,2,0.9861111111111112,0.2219591595146493,0.6040351353128802,0.051245037892457594,0.9861111111111112,0.09742710120068611,0.8190005261254153,0.1844647116199077,0.3652152717113495,0.5673155382533591
Herpes Zoster,0.5,99,3424,99,2444,980,0,1.0,0.286214953271028,0.643107476635514,0.03893039716869839,1.0,0.07494322482967448,0.8971343103936562,0.33102264772115747,0.3462955057621002,0.5586116554349314
Drug Rash,0.5,104,3419,101,2262,1157,3,0.9711538461538461,0.33840304182509506,0.6547784439894706,0.04274227676682184,0.9711538461538461,0.08188082691528172,0.8431530811978312,0.2074797615619356,0.336806982755661,0.5479193838472364
Herpes Simplex,0.5,99,3424,99,2400,1024,0,1.0,0.29906542056074764,0.6495327102803738,0.03961584633853541,1.0,0.07621247113163972,0.9085864485981309,0.33549175236629314,0.34157732129096985,0.5554591581255004
Impetigo,0.5,85,3438,84,2402,1036,1,0.9882352941176471,0.30133798720186156,0.6447866406597543,0.03378921962992759,0.9882352941176471,0.06534422403733955,0.8793416144817439,0.19613282284766606,0.34771308302879333,0.5612551086063315
Acute Dermatitis NOS,0.5,87,3436,87,2165,1271,0,1.0,0.369906868451688,0.684953434225844,0.038632326820603906,1.0,0.07439076528430953,0.8571347329827519,0.15784956748670065,0.32254090905189514,0.5352756125308423
Hypersensitivity,0.5,79,3444,79,2293,1151,0,1.0,0.33420441347270613,0.667102206736353,0.03330522765598651,1.0,0.06446348429212566,0.8505270586159749,0.0904165027835769,0.345858633518219,0.5606584855263591
Acne,0.5,69,3454,69,1003,2451,0,1.0,0.7096120440069484,0.8548060220034742,0.06436567164179105,1.0,0.12094653812445223,0.970003272827975,0.4767688646814921,0.20841142535209656,0.41150959844011287
