trial,selection_score,selected_epoch,validation_auc_macro,validation_label_ranking_average_precision,validation_pr_auc_macro,architecture__instance_dim,architecture__attention_dim,architecture__shared_dim,architecture__instance_layers,architecture__shared_layers,architecture__dropout,training__optimizer,training__epochs,training__batch_size,training__learning_rate,training__weight_decay,training__early_stopping_patience,training__gradient_clip_norm,training__loss,training__class_balanced_beta,training__use_positive_weights,training__focal_gamma,training__focal_alpha,training__scheduler,training__checkpoint_metric,training__checkpoint_lrap_weight,training__num_workers
1,0.930091033377111,23,0.8516024572370874,0.7848857614002361,0.2765831211078328,1024,128,512,1,1,0.2,adamw,30,64,0.0008263860513916881,2.0731719263694552e-05,8,5.0,focal,0.9999,True,2.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
12,0.927097174787293,18,0.8498579035140824,0.7723927127321064,0.2716539906847794,1024,384,384,1,1,0.25,adamw,30,64,0.0004361616403444294,4.68917517398101e-05,8,5.0,class_balanced,0.9999,True,1.0,0.25,cosine,macro_auc_plus_lrap,0.1,0
4,0.921290872613465,13,0.8456216037585105,0.7566926885495454,0.2627000809209998,1024,384,512,2,1,0.2,adamw,30,64,7.554466697056652e-05,0.000816759271659978,8,5.0,class_balanced,0.999,True,1.0,0.25,cosine,macro_auc_plus_lrap,0.1,0
10,0.9197710191607815,22,0.8432397781381282,0.7653124102265324,0.2587146836694186,768,128,384,2,1,0.25,adamw,30,64,0.000785226466910212,8.019641600450213e-05,8,5.0,focal,0.99,True,1.0,0.5,cosine,macro_auc_plus_lrap,0.1,0
7,0.9185786163097103,22,0.8439666586495662,0.7461195766014401,0.2544221596239441,1024,256,512,2,1,0.35,adamw,30,64,0.0005428021611337861,8.651669568208026e-06,8,5.0,class_balanced_focal,0.99,True,1.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
3,0.9161892591248118,10,0.8423657825303097,0.7382347659450205,0.2568123975842485,768,384,256,2,2,0.1,adamw,30,64,0.00012542691386323534,4.805251969157457e-06,8,5.0,class_balanced,0.999,True,1.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
9,0.915826601423904,9,0.8420706810735611,0.7375592035034292,0.2476763718653264,384,128,256,1,2,0.1,adamw,30,64,0.00013702191148044277,5.0842112567752454e-05,8,5.0,focal,0.999,True,2.0,0.5,cosine,macro_auc_plus_lrap,0.1,0
11,0.9134821455965836,22,0.840430803153035,0.7305134244354855,0.2621367312591132,1024,128,256,2,1,0.35,adamw,30,64,3.4005741879001716e-05,1.6810705158715602e-05,8,5.0,class_balanced_focal,0.99,True,2.0,0.25,cosine,macro_auc_plus_lrap,0.1,0
2,0.9081748027789477,26,0.8350834935337537,0.7309130924519406,0.2414090072591687,512,256,384,1,2,0.35,adamw,30,64,0.0008854755996422128,2.4229301715750384e-06,8,5.0,class_balanced_focal,0.999,True,1.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
5,0.8972726162912169,29,0.8260141967845069,0.7125841950671001,0.2284077288353782,768,256,512,1,1,0.35,adamw,30,64,2.4109809572243633e-05,0.00011198164932559389,8,5.0,class_balanced_focal,0.999,True,1.0,0.5,cosine,macro_auc_plus_lrap,0.1,0
6,0.8624865297803378,30,0.7956411282776829,0.6684540150265497,0.1894849178731444,512,128,256,2,2,0.25,adamw,30,64,2.946751618560932e-05,2.4533782794538353e-06,8,5.0,class_balanced_focal,0.999,True,1.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
8,0.8280137761746847,30,0.764352469166163,0.6366130700852181,0.1758687887723375,384,384,512,2,2,0.35,adamw,30,64,2.2191356357493354e-05,3.978548049127217e-06,8,5.0,class_balanced,0.9999,True,1.0,0.75,cosine,macro_auc_plus_lrap,0.1,0
