label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,7,12,0,0,1.0,0.0,0.5,0.3684210526315789,1.0,0.5384615384615384,0.6785714285714286,0.5290249433106575,0.27713212783139585,0.21739577619653
Allergic Contact Dermatitis,0.5,3,16,3,7,9,0,1.0,0.5625,0.78125,0.3,1.0,0.46153846153846156,0.625,0.24074074074074076,0.24378818234737262,0.33670616149902344
Insect Bite,0.5,1,18,1,15,3,0,1.0,0.16666666666666666,0.5833333333333334,0.0625,1.0,0.11764705882352941,1.0,1.0,0.28973516564475704,0.4984493475211294
Urticaria,0.5,2,17,0,4,13,2,0.0,0.7647058823529411,0.38235294117647056,0.0,0.0,0.0,0.5882352941176471,0.18333333333333335,0.2273217753711328,0.36634992141472666
Psoriasis,0.5,3,16,3,16,0,0,1.0,0.0,0.5,0.15789473684210525,1.0,0.2727272727272727,0.875,0.6805555555555556,0.26863404423778586,0.37622248499017014
Folliculitis,0.5,2,17,2,8,9,0,1.0,0.5294117647058824,0.7647058823529411,0.2,1.0,0.3333333333333333,0.9411764705882353,0.75,0.24702377616945354,0.40343321310846425
Irritant Contact Dermatitis,0.5,2,17,2,6,11,0,1.0,0.6470588235294118,0.8235294117647058,0.25,1.0,0.4,0.9117647058823529,0.5,0.23394528366822698,0.38579777353688294
Tinea,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.1979163012080014,0.39712034871703694
Herpes Zoster,0.5,2,17,2,3,14,0,1.0,0.8235294117647058,0.9117647058823529,0.4,1.0,0.5714285714285714,0.9705882352941176,0.8333333333333333,0.2349261226890292,0.3852603874708477
Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.5833333333333334,0.2895833333333333,0.2048705676210763,0.1980609548719306
Herpes Simplex,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.24481063108646267,0.44949700330433096
Impetigo,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.24588567030876066,0.49332957205019495
Acute Dermatitis NOS,0.5,3,16,1,2,14,2,0.3333333333333333,0.875,0.6041666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4471153846153846,0.2344602584270533,0.3203626086837367
Hypersensitivity,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19104979175333012,0.4359380195015355
Acne,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17320161865212932,0.41516739757437454
Pigmented Purpuric Eruption,0.5,1,18,1,13,5,0,1.0,0.2777777777777778,0.6388888888888888,0.07142857142857142,1.0,0.13333333333333333,1.0,1.0,0.2643199030506311,0.5118398195818851
Leukocytoclastic Vasculitis,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0,0.2932029193176929,0.50448697491696
Lichen Planus Lichenoid Eruption,0.5,3,16,1,1,15,2,0.3333333333333333,0.9375,0.6354166666666666,0.5,0.3333333333333333,0.4,0.6875,0.45138888888888884,0.22127586859954676,0.30494134990792526
Pityriasis Rosea,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.19134323765579236,0.3921137107046027
Viral Exanthem,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.8529411764705882,0.6428571428571428,0.19951367603468886,0.33414669413315623
Lichen Simplex Chronicus,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.20467422456927517,0.45085857730162765
Stasis Dermatitis,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.31370229545249895,0.553306105889772
Keratosis Pilaris,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.17769871217302735,0.37450790562127767
CD - Contact Dermatitis,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.24607659039577068,0.4943796553109821
Scabies,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.9411764705882353,0.75,0.19797158909360854,0.33130900640236705
