label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.5,7,12,1,4,8,6,0.14285714285714285,0.6666666666666666,0.40476190476190477,0.2,0.14285714285714285,0.16666666666666666,0.4642857142857143,0.3608766233766234,0.249371916576094,0.11407305378662913
Allergic Contact Dermatitis,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.7083333333333333,0.3528138528138528,0.2166720625291768,0.2965324756346251
Insect Bite,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.1954026016797068,0.39599204690832845
Urticaria,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.7647058823529411,0.29166666666666663,0.1928031924905315,0.32012712955474854
Psoriasis,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.7291666666666666,0.30277777777777776,0.20768564951402232,0.2802885362976476
Folliculitis,0.5,2,17,2,11,6,0,1.0,0.35294117647058826,0.6764705882352942,0.15384615384615385,1.0,0.26666666666666666,0.9411764705882353,0.75,0.246301241459546,0.4464511055695383
Irritant Contact Dermatitis,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.10526315789473684,1.0,0.19047619047619047,0.7352941176470588,0.24285714285714285,0.3635866371976814,0.5235004676015753
Tinea,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.325587318790039,0.5654847214096471
Herpes Zoster,0.5,2,17,1,0,17,1,0.5,1.0,0.75,1.0,0.5,0.6666666666666666,0.9705882352941176,0.8333333333333333,0.21133208134916176,0.4046425568430047
Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.65,0.4514411027568922,0.20767925012139687,0.2139920451139149
Herpes Simplex,0.5,1,18,1,12,6,0,1.0,0.3333333333333333,0.6666666666666666,0.07692307692307693,1.0,0.14285714285714285,1.0,1.0,0.2580354874920325,0.5051385791678178
Impetigo,0.5,1,18,1,15,3,0,1.0,0.16666666666666666,0.5833333333333334,0.0625,1.0,0.11764705882352941,1.0,1.0,0.28100696978280587,0.5273477952731283
Acute Dermatitis NOS,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.7083333333333333,0.5380952380952381,0.19325252644745317,0.25439563236738505
Hypersensitivity,0.5,1,18,1,7,11,0,1.0,0.6111111111111112,0.8055555555555556,0.125,1.0,0.2222222222222222,1.0,1.0,0.2400801144861864,0.4431592775018592
Acne,0.5,1,18,1,15,3,0,1.0,0.16666666666666666,0.5833333333333334,0.0625,1.0,0.11764705882352941,1.0,1.0,0.32603364930222173,0.5616315007209777
Pigmented Purpuric Eruption,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.05263157894736842,1.0,0.1,1.0,1.0,0.3208825734888119,0.5621130654686376
Leukocytoclastic Vasculitis,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.09090909090909091,1.0,0.16666666666666666,1.0,1.0,0.23029999298495088,0.4763162104707015
Lichen Planus Lichenoid Eruption,0.5,3,16,3,10,6,0,1.0,0.375,0.6875,0.23076923076923078,1.0,0.375,0.9166666666666666,0.8095238095238095,0.2538220850268276,0.3646340401549088
Pityriasis Rosea,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0,0.2728630425776955,0.5192500352859496
Viral Exanthem,0.5,2,17,1,2,15,1,0.5,0.8823529411764706,0.6911764705882353,0.3333333333333333,0.5,0.4,0.9117647058823529,0.7,0.2062386009126258,0.3533246407383367
Lichen Simplex Chronicus,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.2212935947158149,0.46584264855635793
Stasis Dermatitis,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0,0.21174381994958744,0.4551823829349719
Keratosis Pilaris,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.1858854237614238,0.4276579210632726
CD - Contact Dermatitis,0.5,1,18,1,3,15,0,1.0,0.8333333333333334,0.9166666666666667,0.25,1.0,0.4,1.0,1.0,0.201799294650601,0.4031219294196681
Scabies,0.5,2,17,2,10,7,0,1.0,0.4117647058823529,0.7058823529411764,0.16666666666666666,1.0,0.2857142857142857,0.9411764705882353,0.75,0.24601779534215384,0.4447602331638336
