case_id,split,split_seed,split_version
-1000600354148496558,train,42,v1
-1002039107727665188,validation,42,v1
-1003358831658393077,test,42,v1
-1003826561155964328,train,42,v1
-1003844406100696311,validation,42,v1
-1005079160214352144,train,42,v1
-1010778459521153386,train,42,v1
-1013831220015814987,test,42,v1
-101827005996397499,train,42,v1
-1022162013984621110,test,42,v1
-1031911667791094656,test,42,v1
-1033431645373513522,test,42,v1
-1036016816671158395,train,42,v1
-1036981968706453829,validation,42,v1
-1037438006618214143,train,42,v1
-1044594585476135937,train,42,v1
-1056272893472010635,train,42,v1
-1056928533969389753,train,42,v1
-1057240568748349024,train,42,v1
-1060130963443704102,train,42,v1
-1061801124542504778,test,42,v1
-106405243948208551,validation,42,v1
-1067542267811956200,validation,42,v1
-1073544188024944010,train,42,v1
-1073891379022187312,train,42,v1
-1079717215777778516,train,42,v1
-1079727161055493298,train,42,v1
-1087381795155772077,train,42,v1
-1089800692688279258,train,42,v1
-1099238256674819265,train,42,v1
-1101392520794914783,train,42,v1
-11128479390212235,train,42,v1
-1113345605825367413,train,42,v1
-111683086443147412,train,42,v1
-1119092979468790566,validation,42,v1
-1120481478267460560,train,42,v1
-1124376008163931651,validation,42,v1
-1127347074157114394,test,42,v1
-1128330186348790427,train,42,v1
-113091225230567987,test,42,v1
-1131745754224368828,validation,42,v1
-1135026789486682604,validation,42,v1
-113600338199345486,train,42,v1
-1137468110374856758,train,42,v1
-1147365175896762601,train,42,v1
-1147837260705654157,train,42,v1
-1148272184782133632,test,42,v1
-1148910296687609402,train,42,v1
-114959561601268372,validation,42,v1
-1160477743339353280,train,42,v1
-1173129871484027314,train,42,v1
-1175252715545111648,train,42,v1
-1176139745215707994,train,42,v1
-1179468002507761906,train,42,v1
-1180717079993352243,train,42,v1
-1186785859296268316,test,42,v1
-1194971820059996286,train,42,v1
-1204349630028029673,train,42,v1
-1207834327352514621,train,42,v1
-1212008586821278166,train,42,v1
-1212770266425026516,train,42,v1
-1213387482804414270,train,42,v1
-1214152415217842430,train,42,v1
-121780207208961369,train,42,v1
-1219618387013167058,train,42,v1
-1223731585128954908,train,42,v1
-1223898448071053723,validation,42,v1
-1226908042701108862,train,42,v1
-1233017355299361436,train,42,v1
-1235573782679771458,train,42,v1
-1239598386725310498,train,42,v1
-1242563951569687529,train,42,v1
-1243602176678500074,train,42,v1
-1248246033945054233,train,42,v1
-1250229492463751778,train,42,v1
-1251963679158960118,train,42,v1
-1254264658081974557,train,42,v1
-1255305323698889844,test,42,v1
-1255681262079788181,train,42,v1
-1257901370605398997,train,42,v1
-1261265309605882327,train,42,v1
-1262951599314161924,train,42,v1
-1263855921325980066,train,42,v1
-1270861814991427444,train,42,v1
-1272269089515966092,train,42,v1
-127385667420688236,validation,42,v1
-1285017031068666038,train,42,v1
-1287537139414408239,validation,42,v1
-1296365891867434583,train,42,v1
-1297924875946549467,train,42,v1
-1299793689195137504,train,42,v1
-130215202506383973,train,42,v1
-1302658650662297368,test,42,v1
-1306019410543480387,train,42,v1
-1311370454326164660,train,42,v1
-13131843686168963,train,42,v1
-1314807227897440400,train,42,v1
-1326821931516381692,train,42,v1
-1328316762587508887,train,42,v1
-1333015211845690309,train,42,v1
-1333322829856804070,train,42,v1
-1337979528936324516,train,42,v1
-1344904099031335410,train,42,v1
-1345393367046403731,train,42,v1
-1350086547191064233,train,42,v1
-1352892938664792412,validation,42,v1
-1356334160777959420,train,42,v1
-1356854153574033866,train,42,v1
-135692501408390550,train,42,v1
-1362015246551257780,train,42,v1
-1364647863765645582,test,42,v1
-1369732580479712253,train,42,v1
-1371350548664137971,train,42,v1
-1375665758504784910,train,42,v1
-1378411267380773173,validation,42,v1
-1378709613121042762,test,42,v1
-1381447668976406600,test,42,v1
-1382047363227076837,train,42,v1
-1388057736180861488,train,42,v1
-1390386660930294961,test,42,v1
-1393362640648937029,train,42,v1
-1397326356535699382,train,42,v1
-139845301334257651,train,42,v1
-1401882893833923465,test,42,v1
-1406233755534959492,train,42,v1
-1410373638686722492,test,42,v1
-1412059264767200854,train,42,v1
-1412400779946112751,train,42,v1
-141393122114413977,validation,42,v1
-1419373797020084244,train,42,v1
-1420442426037207871,validation,42,v1
-1421944459823256225,train,42,v1
-1425393958987146449,train,42,v1
-1426862160478842898,train,42,v1
-1431247819699303708,train,42,v1
-1431595202607010716,train,42,v1
-1432754611217093642,validation,42,v1
-143319553970899940,validation,42,v1
-1440607007617551864,train,42,v1
-1448009532383550503,train,42,v1
-1448713250426008719,train,42,v1
-1449778248329382586,train,42,v1
-1455457950133640022,train,42,v1
-1455669111203448685,train,42,v1
-1461655318304999587,train,42,v1
-1465287498233593963,train,42,v1
-1466240726537901317,train,42,v1
-1471237489962840287,train,42,v1
-147708187468899383,test,42,v1
-1479210190623557731,train,42,v1
-1479297477794358381,train,42,v1
-1480302206820013284,train,42,v1
-1488733543179104224,train,42,v1
-1489059460537780682,train,42,v1
-1489554259511957542,train,42,v1
-1490620546587137533,validation,42,v1
-1492320040193351416,train,42,v1
-1493032202640361702,train,42,v1
-1494331029868205083,validation,42,v1
-1495841496004011282,validation,42,v1
-1499022002423987659,validation,42,v1
-1499518133606453111,test,42,v1
-1502911455314184658,train,42,v1
-1506234296954769772,train,42,v1
-150838352918869442,test,42,v1
-1513090194364892124,validation,42,v1
-1514456898517312171,train,42,v1
-1521661966793304054,train,42,v1
-1536506023388037046,train,42,v1
-1538047329824227087,validation,42,v1
-1542204444296561059,train,42,v1
-1542593210179870498,validation,42,v1
-1546088961016604032,train,42,v1
-1547167117467078718,train,42,v1
-1547694632817825594,train,42,v1
-1551127930417558344,train,42,v1
-1571750243156555704,test,42,v1
-1574058106272157152,train,42,v1
-1575270296046274366,validation,42,v1
-1576054129533543952,train,42,v1
-158089738637053724,train,42,v1
-1587438555169083999,test,42,v1
-158775017522447626,validation,42,v1
-1588895591454796436,train,42,v1
-1591850424860312359,train,42,v1
-159306299408086544,train,42,v1
-1595867844041726825,test,42,v1
-1596197624011855985,test,42,v1
-1600648283109365918,train,42,v1
-1607687872846341789,train,42,v1
-1610022389679467961,train,42,v1
-1612619570898203133,train,42,v1
-1615996741063613277,train,42,v1
-1616454963494052359,test,42,v1
-1622226095322953562,train,42,v1
-162327857281578644,train,42,v1
-1627627850086456966,train,42,v1
-1634529533156484145,train,42,v1
-1634812113032318983,train,42,v1
