encoder,classifier,auc_macro
bit50,gradient_boosting,0.4744047619047619
bit50,knn,0.4547619047619048
bit50,logistic,0.4440476190476191
bit50,mil,0.6017857142857144
bit50,random_forest,0.4214285714285715
bit50,svm_linear,0.4571428571428571
clip_vitb32,gradient_boosting,0.6583333333333334
clip_vitb32,knn,0.6023809523809525
clip_vitb32,logistic,0.4738095238095238
clip_vitb32,mil,0.5398809523809522
clip_vitb32,random_forest,0.6
clip_vitb32,svm_linear,0.6166666666666666
derm_foundation,gradient_boosting,0.6065476190476191
derm_foundation,knn,0.6595238095238095
derm_foundation,logistic,0.7202380952380951
derm_foundation,mil,0.6595238095238094
derm_foundation,random_forest,0.7255952380952381
derm_foundation,svm_linear,0.5261904761904762
inception_v3,gradient_boosting,0.5702380952380952
inception_v3,knn,0.4071428571428572
inception_v3,logistic,0.4416666666666667
inception_v3,mil,0.43035714285714277
inception_v3,random_forest,0.4285714285714285
inception_v3,svm_linear,0.3297619047619047
resnet50,gradient_boosting,0.4119047619047618
resnet50,knn,0.481547619047619
resnet50,logistic,0.4071428571428571
resnet50,mil,0.5029761904761905
resnet50,random_forest,0.4785714285714286
resnet50,svm_linear,0.4833333333333333
siglip2_so400m,gradient_boosting,0.5595238095238095
siglip2_so400m,knn,0.5738095238095238
siglip2_so400m,logistic,0.5190476190476191
siglip2_so400m,mil,0.519047619047619
siglip2_so400m,random_forest,0.6190476190476191
siglip2_so400m,svm_linear,0.5702380952380951
vit_base,gradient_boosting,0.4434523809523809
vit_base,knn,0.631547619047619
vit_base,logistic,0.6250000000000001
vit_base,mil,0.5208333333333333
vit_base,random_forest,0.5297619047619049
vit_base,svm_linear,0.6309523809523808
