encoder,seed,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
siglip2_so400m,42,test,Eczema,0.5,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.375,0.3666666666666667,0.2989880458111926,0.2541739543279012
siglip2_so400m,42,test,Allergic Contact Dermatitis,0.5,1,5,0,4,1,1,0.0,0.2,0.1,0.0,0.0,0.0,0.1999999999999999,0.2,0.2642496952479612,0.3522819976011911
siglip2_so400m,42,test,Insect Bite,0.5,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.125,0.2916666666666666,0.2826774347330592,0.2297977010409037
siglip2_so400m,42,test,Urticaria,0.5,1,5,0,1,4,1,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.1666666666666666,0.2524880313865945,0.3219048281510671
siglip2_so400m,42,test,Psoriasis,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.6,0.3333333333333333,0.268988795699648,0.3613604505856832
siglip2_so400m,42,test,Folliculitis,0.5,1,5,1,4,1,0,1.0,0.2,0.6,0.2,1.0,0.3333333333333333,0.6,0.3333333333333333,0.2579567345550024,0.3445676912864049
siglip2_so400m,42,test,Irritant Contact Dermatitis,0.5,1,5,1,3,2,0,1.0,0.4,0.7,0.25,1.0,0.4,0.8,0.5,0.2435436907790016,0.3301678697268168
siglip2_so400m,42,test,Tinea,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.8,0.5,0.1952858731629065,0.2629677355289459
siglip2_so400m,42,test,Herpes Zoster,0.5,0,6,0,2,4,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2319166618229697,0.4811559915542602
siglip2_so400m,42,test,Drug Rash,0.5,2,4,0,0,4,2,0.0,1.0,0.5,0.0,0.0,0.0,0.625,0.7,0.219768580077776,0.088353489836057
siglip2_so400m,42,test,Herpes Simplex,0.5,1,5,0,3,2,1,0.0,0.4,0.2,0.0,0.0,0.0,0.1999999999999999,0.2,0.2522421822702987,0.3341694821914037
siglip2_so400m,42,test,Impetigo,0.5,1,5,1,3,2,0,1.0,0.4,0.7,0.25,1.0,0.4,1.0,1.0,0.2437589397191976,0.3446406722068786
siglip2_so400m,42,test,Acute Dermatitis NOS,0.5,1,5,1,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2240921870546439,0.47310604651769
siglip2_so400m,42,test,Hypersensitivity,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.2299907891726314,0.3415860434373219
siglip2_so400m,42,test,Acne,0.5,0,6,0,0,6,0,,1.0,1.0,0.0,0.0,0.0,,,0.1755139707293465,0.4187915623188019
siglip2_so400m,42,test,Pigmented Purpuric Eruption,0.5,1,5,0,4,1,1,0.0,0.2,0.1,0.0,0.0,0.0,0.1999999999999999,0.2,0.2720407546610749,0.3595501581827799
siglip2_so400m,42,test,Leukocytoclastic Vasculitis,0.5,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.125,0.2916666666666666,0.2965791002728467,0.2335155010223388
siglip2_so400m,42,test,Lichen Planus Lichenoid Eruption,0.5,0,6,0,0,6,0,,1.0,1.0,0.0,0.0,0.0,,,0.2167248381230767,0.4652084410190582
siglip2_so400m,42,test,Pityriasis Rosea,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.2015028293822587,0.2740657726923625
siglip2_so400m,42,test,Viral Exanthem,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.2230167683953587,0.27786718805631
siglip2_so400m,42,test,Lichen Simplex Chronicus,0.5,0,6,0,2,4,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2234848869389985,0.4712224205334981
siglip2_so400m,42,test,Stasis Dermatitis,0.5,1,5,1,4,1,0,1.0,0.2,0.6,0.2,1.0,0.3333333333333333,0.6,0.3333333333333333,0.2972482330654837,0.4057295620441437
siglip2_so400m,42,test,Keratosis Pilaris,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.1961346073742193,0.2632111459970474
siglip2_so400m,42,test,CD - Contact Dermatitis,0.5,1,5,0,2,3,1,0.0,0.6,0.3,0.0,0.0,0.0,0.1999999999999999,0.2,0.2584090744844238,0.3371795614560445
siglip2_so400m,42,test,Scabies,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.2213606248663378,0.2739466031392416
siglip2_so400m,42,train,Eczema,0.5,7,12,7,12,0,0,1.0,0.0,0.5,0.3684210526315789,1.0,0.5384615384615384,0.6785714285714286,0.5290249433106575,0.2771321278313958,0.21739577619653
siglip2_so400m,42,train,Allergic Contact Dermatitis,0.5,3,16,3,7,9,0,1.0,0.5625,0.78125,0.3,1.0,0.4615384615384615,0.625,0.2407407407407407,0.2437881823473726,0.3367061614990234
siglip2_so400m,42,train,Insect Bite,0.5,1,18,1,15,3,0,1.0,0.1666666666666666,0.5833333333333334,0.0625,1.0,0.1176470588235294,1.0,1.0,0.289735165644757,0.4984493475211294
siglip2_so400m,42,train,Urticaria,0.5,2,17,0,4,13,2,0.0,0.7647058823529411,0.3823529411764705,0.0,0.0,0.0,0.5882352941176471,0.1833333333333333,0.2273217753711328,0.3663499214147266
siglip2_so400m,42,train,Psoriasis,0.5,3,16,3,16,0,0,1.0,0.0,0.5,0.1578947368421052,1.0,0.2727272727272727,0.875,0.6805555555555556,0.2686340442377858,0.3762224849901701
siglip2_so400m,42,train,Folliculitis,0.5,2,17,2,8,9,0,1.0,0.5294117647058824,0.7647058823529411,0.2,1.0,0.3333333333333333,0.9411764705882352,0.75,0.2470237761694535,0.4034332131084642
siglip2_so400m,42,train,Irritant Contact Dermatitis,0.5,2,17,2,6,11,0,1.0,0.6470588235294118,0.8235294117647058,0.25,1.0,0.4,0.9117647058823528,0.5,0.2339452836682269,0.3857977735368829
siglip2_so400m,42,train,Tinea,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.1979163012080014,0.3971203487170369
siglip2_so400m,42,train,Herpes Zoster,0.5,2,17,2,3,14,0,1.0,0.8235294117647058,0.9117647058823528,0.4,1.0,0.5714285714285714,0.9705882352941176,0.8333333333333333,0.2349261226890292,0.3852603874708477
siglip2_so400m,42,train,Drug Rash,0.5,4,15,0,0,15,4,0.0,1.0,0.5,0.0,0.0,0.0,0.5833333333333334,0.2895833333333333,0.2048705676210763,0.1980609548719306
siglip2_so400m,42,train,Herpes Simplex,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.0909090909090909,1.0,0.1666666666666666,1.0,1.0,0.2448106310864626,0.4494970033043309
