label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.59,158,597,112,205,392,46,0.7088607594936709,0.6566164154103853,0.6827385874520281,0.35331230283911674,0.7088607594936709,0.47157894736842104,0.750842821703454,0.42057110788491237,0.2660712651135772,0.34656765907016024
Allergic Contact Dermatitis,0.6,131,624,87,198,426,44,0.6641221374045801,0.6826923076923077,0.673407222548444,0.30526315789473685,0.6641221374045801,0.4182692307692308,0.7309037972205912,0.35791413026016156,0.2585789589581203,0.3551376474377336
Insect Bite,0.54,60,695,48,172,523,12,0.8,0.7525179856115108,0.7762589928057555,0.21818181818181817,0.8,0.34285714285714286,0.8563069544364508,0.36309059278920497,0.18420328794523727,0.32870621335057426
Urticaria,0.56,50,705,38,127,578,12,0.76,0.8198581560283688,0.7899290780141843,0.23030303030303031,0.76,0.35348837209302325,0.8757446808510638,0.4026094425666245,0.15479789313818226,0.28559965545336236
Psoriasis,0.44,46,709,33,186,523,13,0.717391304347826,0.7376586741889986,0.7275249892684124,0.1506849315068493,0.717391304347826,0.2490566037735849,0.7936775617832832,0.24241371574373644,0.14767809627357883,0.2702087511662517
Folliculitis,0.43,40,715,34,165,550,6,0.85,0.7692307692307693,0.8096153846153846,0.1708542713567839,0.85,0.28451882845188287,0.8832867132867133,0.45118712682081774,0.1258668594761104,0.24195004577915
Irritant Contact Dermatitis,0.47,37,718,28,220,498,9,0.7567567567567568,0.6935933147632312,0.725175035759994,0.11290322580645161,0.7567567567567568,0.19649122807017544,0.8100956109312656,0.2289264104740966,0.17391411117965638,0.33279158684258525
Tinea,0.36,31,724,24,217,507,7,0.7741935483870968,0.7002762430939227,0.7372348957405097,0.0995850622406639,0.7741935483870968,0.17647058823529413,0.7958474425236143,0.15021152967906762,0.13293225124549538,0.2557303493840632
Herpes Zoster,0.34,21,734,18,135,599,3,0.8571428571428571,0.8160762942779292,0.8366095757103931,0.11764705882352941,0.8571428571428571,0.20689655172413793,0.8972362787076683,0.31165906688464057,0.08074572076351905,0.17753226855134477
Drug Rash,0.37,22,733,15,182,551,7,0.6818181818181818,0.7517053206002728,0.7167617512092272,0.07614213197969544,0.6818181818181818,0.136986301369863,0.8264913803795114,0.3054339009011923,0.10409732932094888,0.23290387349955685
Herpes Simplex,0.31,21,734,21,152,582,0,1.0,0.7929155313351499,0.896457765667575,0.12138728323699421,1.0,0.21649484536082475,0.966394187102634,0.4899418601314283,0.07198062818054284,0.16638377185011988
Impetigo,0.35,18,737,13,169,568,5,0.7222222222222222,0.7706919945725916,0.746457108397407,0.07142857142857142,0.7222222222222222,0.13,0.7812452887079753,0.13464837269674218,0.09630743586894046,0.2022453424359813
Acute Dermatitis NOS,0.41,19,736,14,195,541,5,0.7368421052631579,0.7350543478260869,0.7359482265446224,0.06698564593301436,0.7368421052631579,0.12280701754385964,0.8202588672768878,0.15784576742729084,0.13081301868482598,0.2558657958678013
Hypersensitivity,0.43,17,738,12,175,563,5,0.7058823529411765,0.7628726287262872,0.7343774908337319,0.06417112299465241,0.7058823529411765,0.11764705882352941,0.8329347999362346,0.21886069231190583,0.11644490896284479,0.24335979820784204
Acne,0.33,15,740,12,72,668,3,0.8,0.9027027027027027,0.8513513513513513,0.14285714285714285,0.8,0.24242424242424243,0.9638738738738739,0.5539383198808355,0.04436850231440186,0.11311039755453921
Pigmented Purpuric Eruption,0.49,15,740,14,51,689,1,0.9333333333333333,0.9310810810810811,0.9322072072072072,0.2153846153846154,0.9333333333333333,0.35,0.9797297297297297,0.5416397174110423,0.05148647826067339,0.12718117835140466
Leukocytoclastic Vasculitis,0.23,15,740,11,156,584,4,0.7333333333333333,0.7891891891891892,0.7612612612612613,0.0658682634730539,0.7333333333333333,0.12087912087912088,0.8263963963963964,0.19245024628653576,0.05962193417268008,0.13173251367917294
Lichen Planus Lichenoid Eruption,0.17,14,741,11,231,510,3,0.7857142857142857,0.6882591093117408,0.7369866975130133,0.045454545454545456,0.7857142857142857,0.0859375,0.799305957200694,0.16165251754338553,0.060291686135107866,0.13933080044548818
Pityriasis Rosea,0.37,12,743,7,62,681,5,0.5833333333333334,0.9165545087483177,0.7499439210408255,0.10144927536231885,0.5833333333333334,0.1728395061728395,0.8919919246298789,0.2355366786362009,0.04607455012646848,0.11482905399006482
Viral Exanthem,0.24,13,742,7,150,592,6,0.5384615384615384,0.7978436657681941,0.6681526021148663,0.044585987261146494,0.5384615384615384,0.08235294117647059,0.7673647107609373,0.13289206175776458,0.06384548083951276,0.132855374373955
Lichen Simplex Chronicus,0.26,11,744,8,138,606,3,0.7272727272727273,0.8145161290322581,0.7708944281524928,0.0547945205479452,0.7272727272727273,0.10191082802547771,0.8790322580645162,0.07855992383660704,0.0549314833377661,0.14062495063447586
Stasis Dermatitis,0.41,11,744,8,58,686,3,0.7272727272727273,0.9220430107526881,0.8246578690127078,0.12121212121212122,0.7272727272727273,0.2077922077922078,0.9505131964809383,0.45121200559306157,0.04250866913598465,0.10162154283534901
Keratosis Pilaris,0.17,9,746,9,171,575,0,1.0,0.7707774798927614,0.8853887399463807,0.05,1.0,0.09523809523809523,0.9544235924932976,0.20732562742017868,0.05053554866017797,0.11989682831964138
CD - Contact Dermatitis,0.37,11,744,4,172,572,7,0.36363636363636365,0.7688172043010753,0.5662267839687194,0.022727272727272728,0.36363636363636365,0.0427807486631016,0.6717986314760508,0.028153351878223525,0.09664885327504026,0.22325731443793248
Scabies,0.19,9,746,7,168,578,2,0.7777777777777778,0.774798927613941,0.7762883526958594,0.04,0.7777777777777778,0.07608695652173914,0.774798927613941,0.17290700757794505,0.0575892790975196,0.13348039417590057
