label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
Eczema,0.59,158,597,108,201,396,50,0.6835443037974683,0.6633165829145728,0.6734304433560205,0.34951456310679613,0.6835443037974683,0.4625267665952891,0.7378029387443547,0.402412056911155,0.26511688313105686,0.34255083716468304
Allergic Contact Dermatitis,0.6,131,624,90,189,435,41,0.6870229007633588,0.6971153846153846,0.6920691426893717,0.3225806451612903,0.6870229007633588,0.43902439024390244,0.7443359757291056,0.3806962919436671,0.2548055711731584,0.3522892640718562
Insect Bite,0.54,60,695,49,179,516,11,0.8166666666666667,0.7424460431654676,0.7795563549160671,0.2149122807017544,0.8166666666666667,0.3402777777777778,0.8573621103117506,0.363111318473734,0.19012763982408196,0.3380529204099778
Urticaria,0.56,50,705,37,127,578,13,0.74,0.8198581560283688,0.7799290780141843,0.22560975609756098,0.74,0.34579439252336447,0.8794042553191489,0.3958747869683104,0.15387462039505,0.2836603379654174
Psoriasis,0.44,46,709,35,205,504,11,0.7608695652173914,0.7108603667136812,0.7358649659655363,0.14583333333333334,0.7608695652173914,0.24475524475524477,0.7969276997608389,0.2593355720842111,0.15747158835333794,0.2871483781183792
Folliculitis,0.43,40,715,35,175,540,5,0.875,0.7552447552447552,0.8151223776223776,0.16666666666666666,0.875,0.28,0.8831818181818183,0.42510043305761197,0.13559495478435668,0.26426932696771144
Irritant Contact Dermatitis,0.47,37,718,30,227,491,7,0.8108108108108109,0.6838440111420613,0.7473274109764361,0.11673151750972763,0.8108108108108109,0.20408163265306123,0.824813671610329,0.262494484759472,0.17757017131823846,0.3379360972404085
Tinea,0.36,31,724,25,252,472,6,0.8064516129032258,0.6519337016574586,0.7291926572803422,0.09025270758122744,0.8064516129032258,0.16233766233766234,0.797273213330957,0.15542790229670062,0.1475680804225256,0.2896380446703229
Herpes Zoster,0.34,21,734,19,170,564,2,0.9047619047619048,0.7683923705722071,0.8365771376670559,0.10052910052910052,0.9047619047619048,0.18095238095238095,0.8952899961074348,0.2883947531275928,0.09116394904750834,0.19749078665126038
Drug Rash,0.37,22,733,17,174,559,5,0.7727272727272727,0.762619372442019,0.7676733225846459,0.08900523560209424,0.7727272727272727,0.1596244131455399,0.851358055314399,0.2750075524562208,0.09747179776402329,0.21331118623177148
Herpes Simplex,0.31,21,734,20,166,568,1,0.9523809523809523,0.773841961852861,0.8631114571169067,0.10752688172043011,0.9523809523809523,0.1932367149758454,0.9608148436486311,0.4245936040704745,0.08149378357215208,0.18163897678077173
Impetigo,0.35,18,737,13,208,529,5,0.7222222222222222,0.7177747625508819,0.7199984923865521,0.058823529411764705,0.7222222222222222,0.1087866108786611,0.7962460425146993,0.16099523009368688,0.10973087204930448,0.2242869397785687
