encoder,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece,default_sensitivity,default_specificity,default_balanced_accuracy,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper
siglip2_so400m,Eczema,0.59,158,597,112,205,392,46,0.7088607594936709,0.6566164154103853,0.6827385874520281,0.3533123028391167,0.7088607594936709,0.471578947368421,0.750842821703454,0.4205711078849123,0.2660712651135772,0.3465676590701602,0.9493670886075948,0.3634840871021775,0.6564255878548862,0.6337382132103042,0.7740682937312955,0.6176342369090738,0.6935959507797645
siglip2_so400m,Allergic Contact Dermatitis,0.6,131,624,87,198,426,44,0.6641221374045801,0.6826923076923077,0.673407222548444,0.3052631578947368,0.6641221374045801,0.4182692307692308,0.7309037972205912,0.3579141302601615,0.2585789589581203,0.3551376474377336,0.8778625954198473,0.4439102564102564,0.6608864259150519,0.5795924913457883,0.7393005284722439,0.6451510991848675,0.717997904113296
siglip2_so400m,Insect Bite,0.54,60,695,48,172,523,12,0.8,0.7525179856115108,0.7762589928057555,0.2181818181818181,0.8,0.3428571428571428,0.8563069544364508,0.3630905927892049,0.1842032879452372,0.3287062133505742,0.85,0.6992805755395683,0.7746402877697842,0.6821819419437211,0.8817149467710251,0.7191043163618994,0.783155524650278
siglip2_so400m,Urticaria,0.56,50,705,38,127,578,12,0.76,0.8198581560283688,0.7899290780141843,0.2303030303030303,0.76,0.3534883720930232,0.8757446808510638,0.4026094425666245,0.1547978931381822,0.2855996554533623,0.82,0.7773049645390071,0.7986524822695036,0.6258731624205708,0.8570260860300828,0.7897805550500198,0.8464689114390492
siglip2_so400m,Psoriasis,0.44,46,709,33,186,523,13,0.717391304347826,0.7376586741889986,0.7275249892684124,0.1506849315068493,0.717391304347826,0.2490566037735849,0.7936775617832832,0.2424137157437364,0.1476780962735788,0.2702087511662517,0.6521739130434783,0.8011283497884344,0.7266511314159563,0.574514387694541,0.8267579761812937,0.7040592397529521,0.7686966526407419
siglip2_so400m,Folliculitis,0.43,40,715,34,165,550,6,0.85,0.7692307692307693,0.8096153846153846,0.1708542713567839,0.85,0.2845188284518828,0.8832867132867133,0.4511871268208177,0.1258668594761104,0.24195004577915,0.825,0.8181818181818182,0.821590909090909,0.709276756335103,0.9293881228267964,0.7369585604559392,0.798625461967611
siglip2_so400m,Irritant Contact Dermatitis,0.47,37,718,28,220,498,9,0.7567567567567568,0.6935933147632312,0.725175035759994,0.1129032258064516,0.7567567567567568,0.1964912280701754,0.8100956109312656,0.2289264104740966,0.1739141111796563,0.3327915868425852,0.7027027027027027,0.7325905292479109,0.7176466159753068,0.5988270787855735,0.8663864701088361,0.6589171370412915,0.726208982555914
siglip2_so400m,Tinea,0.36,31,724,24,217,507,7,0.7741935483870968,0.7002762430939227,0.7372348957405097,0.0995850622406639,0.7741935483870968,0.1764705882352941,0.7958474425236143,0.1502115296790676,0.1329322512454953,0.2557303493840632,0.6129032258064516,0.8066298342541437,0.7097665300302977,0.6018758161665794,0.886048644387375,0.6659192361157975,0.7325191826984876
siglip2_so400m,Herpes Zoster,0.34,21,734,18,135,599,3,0.8571428571428571,0.8160762942779292,0.8366095757103931,0.1176470588235294,0.8571428571428571,0.2068965517241379,0.8972362787076683,0.3116590668846405,0.080745720763519,0.1775322685513447,0.6666666666666666,0.8937329700272479,0.7801998183469573,0.6536393971937906,0.9501898750027472,0.7864278569407935,0.842433525749222
siglip2_so400m,Drug Rash,0.37,22,733,15,182,551,7,0.6818181818181818,0.7517053206002728,0.7167617512092272,0.0761421319796954,0.6818181818181818,0.136986301369863,0.8264913803795114,0.3054339009011923,0.1040973293209488,0.2329038734995568,0.5909090909090909,0.8703956343792633,0.7306523626441771,0.4731859774104274,0.8363940681864375,0.7191716661379453,0.7816144874948594
siglip2_so400m,Herpes Simplex,0.31,21,734,21,152,582,0,1.0,0.7929155313351499,0.896457765667575,0.1213872832369942,1.0,0.2164948453608247,0.966394187102634,0.4899418601314283,0.0719806281805428,0.1663837718501198,0.9047619047619048,0.9019073569482288,0.9033346308550668,0.8453609810751531,1.0,0.7621123547274467,0.8206686680240767
siglip2_so400m,Impetigo,0.35,18,737,13,169,568,5,0.7222222222222222,0.7706919945725916,0.746457108397407,0.0714285714285714,0.7222222222222222,0.13,0.7812452887079753,0.1346483726967421,0.0963074358689404,0.2022453424359813,0.5,0.8846675712347354,0.6923337856173677,0.4912734343970254,0.8750024662044601,0.7389842542361446,0.7995925157993052
siglip2_so400m,Acute Dermatitis NOS,0.41,19,736,14,195,541,5,0.7368421052631579,0.7350543478260869,0.7359482265446224,0.0669856459330143,0.7368421052631579,0.1228070175438596,0.8202588672768878,0.1578457674272908,0.1308130186848259,0.2558657958678013,0.631578947368421,0.8057065217391305,0.7186427345537758,0.5120844910218489,0.8819358765321748,0.7020112187289274,0.7656565442422412
siglip2_so400m,Hypersensitivity,0.43,17,738,12,175,563,5,0.7058823529411765,0.7628726287262872,0.7343774908337319,0.0641711229946524,0.7058823529411765,0.1176470588235294,0.8329347999362346,0.2188606923119058,0.1164449089628447,0.243359798207842,0.6470588235294118,0.8224932249322493,0.7347760242308305,0.4686688993346016,0.8672001038970478,0.7308749471756619,0.792147856937772
siglip2_so400m,Acne,0.33,15,740,12,72,668,3,0.8,0.9027027027027028,0.8513513513513513,0.1428571428571428,0.8,0.2424242424242424,0.963873873873874,0.5539383198808355,0.0443685023144018,0.1131103975545392,0.8,0.941891891891892,0.870945945945946,0.5481455128483065,0.9295245065301844,0.8792241048743679,0.9220219038449016
siglip2_so400m,Pigmented Purpuric Eruption,0.49,15,740,14,51,689,1,0.9333333333333332,0.9310810810810812,0.9322072072072072,0.2153846153846154,0.9333333333333332,0.35,0.9797297297297296,0.5416397174110423,0.0514864782606733,0.1271811783514046,0.9333333333333332,0.9337837837837838,0.9335585585585586,0.7018347012621998,0.9881331045067316,0.91051503375117,0.9471946198778468
siglip2_so400m,Leukocytoclastic Vasculitis,0.23,15,740,11,156,584,4,0.7333333333333333,0.7891891891891892,0.7612612612612613,0.0658682634730539,0.7333333333333333,0.1208791208791208,0.8263963963963964,0.1924502462865357,0.05962193417268,0.1317325136791729,0.4666666666666667,0.9324324324324323,0.6995495495495496,0.4804956594401943,0.8910254667430761,0.7583457291698457,0.8170456999104352
siglip2_so400m,Lichen Planus Lichenoid Eruption,0.17,14,741,11,231,510,3,0.7857142857142857,0.6882591093117408,0.7369866975130133,0.0454545454545454,0.7857142857142857,0.0859375,0.799305957200694,0.1616525175433855,0.0602916861351078,0.1393308004454881,0.2857142857142857,0.9325236167341432,0.6091189512242143,0.524107694133997,0.9242861328730684,0.6540088959579231,0.7205674607901826
