label,accuracy_default,accuracy_balanced,balanced_threshold
Eczema,0.4860927152317881,0.6675496688741722,0.59
Allergic Contact Dermatitis,0.519205298013245,0.6794701986754967,0.6
Insect Bite,0.7112582781456953,0.7562913907284768,0.54
Urticaria,0.7801324503311259,0.8158940397350993,0.56
Psoriasis,0.7920529801324503,0.7364238410596027,0.44
Folliculitis,0.8185430463576159,0.7735099337748345,0.43
Irritant Contact Dermatitis,0.7311258278145696,0.6966887417218544,0.47
Tinea,0.7986754966887417,0.7033112582781457,0.36
Herpes Zoster,0.8874172185430463,0.8172185430463577,0.34
Drug Rash,0.8622516556291391,0.7496688741721854,0.37
Herpes Simplex,0.9019867549668874,0.7986754966887417,0.31
Impetigo,0.8754966887417218,0.7695364238410596,0.35
Acute Dermatitis NOS,0.8013245033112583,0.7350993377483444,0.41
Hypersensitivity,0.8185430463576159,0.7615894039735099,0.43
Acne,0.9390728476821192,0.9006622516556292,0.33
Pigmented Purpuric Eruption,0.9337748344370861,0.9311258278145695,0.49
Leukocytoclastic Vasculitis,0.9231788079470199,0.7880794701986755,0.23
Lichen Planus Lichenoid Eruption,0.9205298013245033,0.6900662251655629,0.17
Pityriasis Rosea,0.9443708609271523,0.9112582781456954,0.37
Viral Exanthem,0.9112582781456954,0.7933774834437086,0.24
Lichen Simplex Chronicus,0.9311258278145695,0.8132450331125828,0.26
Stasis Dermatitis,0.937748344370861,0.919205298013245,0.41
Keratosis Pilaris,0.9324503311258279,0.7735099337748345,0.17
CD - Contact Dermatitis,0.8768211920529801,0.7629139072847683,0.37
Scabies,0.9112582781456954,0.7748344370860927,0.19
