label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,0.007121298374883289,-0.03220345697856975,0.04664110174238291,0.7419258074192581,0.7702229777022298,1.0
Allergic Contact Dermatitis,0.0327915632754342,-0.007642389562561483,0.07336637914047152,0.10818918108189181,0.19288071192880712,1.0
Insect Bite,0.006787439613526458,-0.03342715730282291,0.04736720543894,0.7423257674232576,0.7428257174282572,1.0
Urticaria,-0.00522857142857136,-0.053631404350570455,0.03826174832946773,0.8493150684931506,0.8325167483251675,1.0
Psoriasis,0.035295207509881354,-0.04756913355262783,0.11887990510344458,0.39736026397360263,0.39946005399460055,1.0
Folliculitis,-0.029260563380281712,-0.07512783879064618,0.008911065385224782,0.14438556144385561,0.24147585241475852,1.0
Irritant Contact Dermatitis,0.06398544406959539,-0.005291143951833552,0.13634161450182583,0.07239276072392761,0.06769323067693231,1.0
Tinea,0.0013908205841445254,-0.07740506857999077,0.07668798980461843,0.9809019098090191,0.9736026397360263,1.0
Herpes Zoster,-0.0083610947808479,-0.03945576019166098,0.021316628320265388,0.5895410458954105,0.6759324067593241,1.0
Drug Rash,0.04470529470529472,-0.02865754418685147,0.11594693871032384,0.22077792220777923,0.20997900209979,1.0
Herpes Simplex,0.0016438356164384382,-0.02131191358632393,0.02567578683329834,0.9139086091390861,0.8949105089491051,1.0
Impetigo,-0.041135397692774744,-0.12424828767123297,0.03765689994418604,0.30596940305969406,0.45195480451954806,1.0
Acute Dermatitis NOS,0.07718338253293966,0.0043148310968509325,0.15173827364733353,0.03799620037996201,0.0122987701229877,0.30746925307469253
Hypersensitivity,-0.045180964609581875,-0.09780103737273185,0.0007543496553685862,0.054594540545945404,0.4026597340265973,1.0
Acne,0.00916099773242629,-0.0162827783021651,0.03445965097750815,0.45655434456554345,0.672932706729327,1.0
Pigmented Purpuric Eruption,0.032108843537414944,-0.008600411465845463,0.09189222966477335,0.17618238176182383,0.11088891110888911,1.0
Leukocytoclastic Vasculitis,-0.03591836734693876,-0.1004054466610437,0.01229736985986979,0.18738126187381263,0.5198480151984801,1.0
Lichen Planus Lichenoid Eruption,0.00786102484472051,-0.10071411387526451,0.1170985424060928,0.8915108489151085,0.9156084391560844,1.0
Pityriasis Rosea,0.018631436314363148,-0.0804744555023889,0.12026308769242819,0.716,0.7215278472152785,1.0
Viral Exanthem,-0.06189333055004698,-0.14965258052231153,0.010171470354673282,0.10418958104189581,0.36266373362663734,1.0
Lichen Simplex Chronicus,0.07959158568089553,-0.042288148843026854,0.2084282821155582,0.1998,0.12338766123387661,1.0
Stasis Dermatitis,0.03407553204576219,-0.016219594594594645,0.08959614503084654,0.18398160183981602,0.1110888911108889,1.0
Keratosis Pilaris,0.010196431249062887,-0.029312668463611805,0.04502688172043012,0.5297470252974702,0.7467253274672533,1.0
CD - Contact Dermatitis,0.010087341616434875,-0.16659244112533592,0.20121849683272963,0.9147085291470853,0.9358064193580642,1.0
Scabies,-0.0724246513720197,-0.24819440801934894,0.0746245060888713,0.3686368636863686,0.5401459854014599,1.0
