label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,-0.00988174133467945,-0.048111276665643354,0.026684760677887248,0.5869413058694131,0.771922807719228,1.0
Allergic Contact Dermatitis,0.000738213399503751,-0.0404225409925558,0.039865647744655175,0.9737026297370263,0.9851014898510149,1.0
Insect Bite,-0.01224637681159435,-0.0471713505288823,0.02189026296363252,0.48475152484751527,0.7791220877912208,1.0
Urticaria,-0.014757142857142913,-0.06676209369794965,0.0295339762779194,0.5603439656034397,0.7110288971102889,1.0
Psoriasis,0.025799777667984136,-0.05748079982340597,0.11317413370839818,0.5535446455354465,0.6692330766923308,1.0
Folliculitis,-0.016690140845070478,-0.06080017093230478,0.021182478109708944,0.42055794420557946,0.6661333866613338,1.0
Irritant Contact Dermatitis,0.009722906637352646,-0.05373231642731165,0.07501685332676065,0.7481251874812519,0.8999100089991001,1.0
Tinea,-0.02236529229664863,-0.09710475075845368,0.05307987101665176,0.5429457054294571,0.7183281671832816,1.0
Herpes Zoster,-0.004507152655300772,-0.042402817484594804,0.03649740376967342,0.8037196280371963,0.9285071492850715,1.0
Drug Rash,0.00018731268731264628,-0.09613832891246685,0.07754355359102318,0.9677032296770323,0.9988001199880012,1.0
Herpes Simplex,0.0059931506849315586,-0.016595506152876176,0.030146120949050715,0.6343365663433657,0.8760123987601239,1.0
Impetigo,-0.08318154219793572,-0.15845645488818946,-0.01706502452771108,0.012198780121987801,0.1770822917708229,1.0
Acute Dermatitis NOS,0.04769961840305281,-0.03917962228904924,0.13666669124105563,0.277972202779722,0.6057394260573943,1.0
Hypersensitivity,-0.030374769280154035,-0.10326664941338845,0.056044474332244465,0.43175682431756823,0.7092290770922908,1.0
Acne,0.002312925170068092,-0.02819379090895624,0.027439058677024036,0.8147185281471853,0.9555044495550445,1.0
Pigmented Purpuric Eruption,0.020589569160997634,-0.007996063476442331,0.05137916954013052,0.15398460153984603,0.6144385561443856,1.0
Leukocytoclastic Vasculitis,-0.0275283446712018,-0.08883596555754664,0.028164919897498277,0.34396560343965604,0.6173382661733826,1.0
Lichen Planus Lichenoid Eruption,-0.01950698757763969,-0.1339072003345152,0.07860899249600202,0.7433256674332567,0.80991900809919,1.0
Pityriasis Rosea,-0.0030487804878048808,-0.0891174284138036,0.06920082055563391,0.9893010698930107,0.9754024597540246,1.0
Viral Exanthem,-0.05469157707963668,-0.1705240957251397,0.05079119879022665,0.32356764323567644,0.44065593440655937,1.0
Lichen Simplex Chronicus,0.04317874277278877,-0.05973773021724267,0.14196406027692898,0.39476052394760525,0.7229277072292771,1.0
Stasis Dermatitis,0.10044285890023363,0.016568822111585297,0.2382475543944253,0.0007999200079992001,0.33536646335366466,1.0
Keratosis Pilaris,0.07917228969860557,-0.02406435154113171,0.24885819428660427,0.23222322232223222,0.5801419858014198,1.0
CD - Contact Dermatitis,-0.0654447041456514,-0.2425011856368563,0.10089459770524252,0.4433556644335566,0.6206379362063794,1.0
Scabies,-0.07347428400059974,-0.2175224799292815,0.06266851233238813,0.27762776277627765,0.4026597340265973,1.0
