label,total_cases,train_cases,validation_cases,test_cases,train_images,effective_number_weight
Eczema,1056,739,159,158,2352,0.15339246593404066
Allergic Contact Dermatitis,873,611,131,131,1946,0.17526887958356427
Insect Bite,403,282,61,60,879,0.32607800166539447
Urticaria,332,232,50,50,696,0.3869767165730773
Psoriasis,308,216,46,46,661,0.4124513271242887
Folliculitis,268,188,40,40,586,0.4675092463584166
Irritant Contact Dermatitis,249,174,38,37,541,0.5017056286256831
Tinea,206,144,31,31,466,0.5974351688019609
Herpes Zoster,142,99,22,21,297,0.8500404449674669
Drug Rash,148,104,22,22,335,0.8111652594320171
Herpes Simplex,141,99,21,21,295,0.8500404449674669
Impetigo,121,85,18,18,267,0.9832431528411868
Acute Dermatitis NOS,124,87,18,19,277,0.9615876684860628
Hypersensitivity,113,79,17,17,249,1.054792545181818
Acne,98,69,14,15,207,1.201708959843822
Pigmented Purpuric Eruption,98,69,14,15,220,1.201708959843822
Leukocytoclastic Vasculitis,99,69,15,15,218,1.201708959843822
Lichen Planus Lichenoid Eruption,89,62,13,14,209,1.3327617447468822
Pityriasis Rosea,80,56,12,12,173,1.4711788382739446
Viral Exanthem,82,57,12,13,187,1.4460850949048054
Lichen Simplex Chronicus,78,55,12,11,167,1.49718532435826
Stasis Dermatitis,70,49,10,11,163,1.6755212416437373
Keratosis Pilaris,61,43,9,9,148,1.9036365099993937
CD - Contact Dermatitis,70,49,10,11,190,1.6755212416437373
Scabies,63,44,10,9,154,1.861296174355332
