label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,-0.01700303970956274,-0.041468788730877455,0.007703028991923656,0.1725827417258274,0.46955304469553044,1.0
Allergic Contact Dermatitis,-0.03205334987593045,-0.05681044554972315,-0.0074899501698399915,0.010998900109989001,0.18688131186881313,1.0
Insect Bite,-0.01903381642512081,-0.045659292562650215,0.007864252411540111,0.16378362163783622,0.6547345265473453,1.0
Urticaria,-0.009528571428571553,-0.04226022046650236,0.025264250062118153,0.5629437056294371,0.7764223577642235,1.0
Psoriasis,-0.009495429841897218,-0.054104565235870795,0.03821961202409017,0.656934306569343,0.8522147785221478,1.0
Folliculitis,0.012570422535211234,-0.005427939972179485,0.033397233328959615,0.18818118188181182,0.7658234176582341,1.0
Irritant Contact Dermatitis,-0.05426253743224274,-0.10922467360507412,-9.979391214736831e-05,0.049795020497950204,0.46965303469653036,1.0
Tinea,-0.023756112880793157,-0.06691590207804606,0.020325222932287588,0.275972402759724,0.7232276772322768,1.0
Herpes Zoster,0.0038539421255471273,-0.020953054538997082,0.02984500933525587,0.7695230476952305,0.9486051394860514,1.0
Drug Rash,-0.04451798201798207,-0.09665425436632336,-0.0012319573123126448,0.044795520447955206,0.5694430556944305,1.0
Herpes Simplex,0.00434931506849312,-0.007195536373829708,0.019586596356591716,0.5395460453954605,0.9103089691030897,1.0
Impetigo,-0.042046144505160976,-0.08463587820064546,0.0017035062435510405,0.059994000599940006,0.6067393260673932,1.0
Acute Dermatitis NOS,-0.029483764129886847,-0.07646555504262324,0.017434263344977594,0.20157984201579843,0.7607239276072393,1.0
Hypersensitivity,0.01480619532942784,-0.030408425924221185,0.07978025305700888,0.6605339466053395,0.8962103789621038,1.0
Acne,-0.006848072562358198,-0.0338134746490922,0.013198869187269474,0.6191380861913809,0.8953104689531047,1.0
Pigmented Purpuric Eruption,-0.01151927437641731,-0.0499427663736573,0.014338291077202373,0.5273472652734726,0.807919208079192,1.0
Leukocytoclastic Vasculitis,0.008390022675736963,-0.03038375692994455,0.04809985703736131,0.6623337666233376,0.9242075792420757,1.0
Lichen Planus Lichenoid Eruption,-0.0273680124223602,-0.05897085669611356,-0.0011530371201007614,0.0395960403959604,0.7854214578542146,1.0
Pityriasis Rosea,-0.02168021680216803,-0.07159207571000943,0.018318310698335026,0.33356664333566644,0.7696230376962304,1.0
Viral Exanthem,0.007201753470410299,-0.05223049895984043,0.07974974746209855,0.8715128487151285,0.9387061293870613,1.0
Lichen Simplex Chronicus,-0.03641284290810676,-0.08386469077749512,0.0074537241118421,0.10378962103789621,0.7635236476352365,1.0
Stasis Dermatitis,0.06636732685447144,-0.01507159994002075,0.17880571866058176,0.14058594140585942,0.5855414458554145,1.0
Keratosis Pilaris,0.06897585844954268,-0.0061751275257751195,0.20885962842454017,0.12658734126587343,0.6012398760123988,1.0
CD - Contact Dermatitis,-0.07553204576208628,-0.19877749279059442,0.04794029848604387,0.2243775622437756,0.6049395060493951,1.0
Scabies,-0.001049632628580044,-0.06257263513513511,0.06231831266248924,0.9592959295929593,0.9949005099490051,1.0
