label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,-0.04248074671593216,-0.08074225294667141,-0.004909499490047162,0.0287971202879712,0.027997200279972004,0.6999300069993001
Allergic Contact Dermatitis,0.003535980148883233,-0.037224695672001776,0.042634896383210184,0.8367163283671633,0.8678132186781322,1.0
Insect Bite,-0.021545893719806752,-0.05209132929487782,0.007715206335707834,0.14658534146585342,0.1466853314668533,1.0
Urticaria,-0.006857142857142784,-0.04312423163709922,0.029973946020488564,0.714928507149285,0.7252274772522748,1.0
Psoriasis,0.016057312252964362,-0.055811867558077,0.08693090477142458,0.6511348865113489,0.6621337866213378,1.0
Folliculitis,-0.011936619718309949,-0.03927045678606644,0.01743363705141266,0.38396160383961603,0.42705729427057293,1.0
Irritant Contact Dermatitis,0.05776884879269173,-0.01982234924007085,0.13552817943114634,0.14138586141385862,0.17168283171682833,1.0
Tinea,0.0021535286464173797,-0.0640612674362675,0.06758014076397621,0.9547045295470453,0.9525047495250475,1.0
Herpes Zoster,-0.019792279051538464,-0.06004540567757109,0.01711434517434015,0.298970102989701,0.30046995300469953,1.0
Drug Rash,0.010551948051948146,-0.0365950000259196,0.060031232630993775,0.6673332666733327,0.6702329767023297,1.0
Herpes Simplex,-0.0214383561643835,-0.054320938981653244,0.007367835968379346,0.145985401459854,0.18068193180681932,1.0
Impetigo,0.02299635701275038,-0.03384982913539054,0.08317165933402339,0.4393560643935606,0.48255174482551744,1.0
Acute Dermatitis NOS,0.029087767297861666,-0.056095399660734645,0.1200980400342335,0.5191480851914808,0.5105489451054894,1.0
Hypersensitivity,-0.05786052483749293,-0.11510406682130715,-0.006343329451345822,0.026797320267973202,0.072992700729927,1.0
Acne,-0.001541950113378765,-0.031153259344123028,0.021860347977301534,0.9963003699630038,0.9242075792420757,1.0
Pigmented Purpuric Eruption,0.023854875283446653,-0.005054544773884359,0.07356948228882831,0.21777822217778223,0.2348765123487651,1.0
Leukocytoclastic Vasculitis,-0.013151927437641597,-0.06064100704498178,0.026107977270588573,0.5837416258374163,0.6431356864313569,1.0
Lichen Planus Lichenoid Eruption,-0.0041731366459626384,-0.07917271218587005,0.058040000553066726,0.9639036096390361,0.9622037796220378,1.0
Pityriasis Rosea,-0.004403794037940334,-0.15255309826321461,0.10625850312146838,0.9708,0.9499050094990501,1.0
Viral Exanthem,0.007306126709111793,-0.04749192954548199,0.06321791072710105,0.7813218678132187,0.842015798420158,1.0
Lichen Simplex Chronicus,0.002952392668224779,-0.10121750748243277,0.12277231068329127,0.9934,0.9568043195680432,1.0
Stasis Dermatitis,0.030754090294009218,-0.013151988312103352,0.08058014237141473,0.16878312168783122,0.15208479152084792,1.0
Keratosis Pilaris,0.005098215624531499,-0.03352425876010767,0.041499330655957234,0.7569243075692431,0.8153184681531847,1.0
CD - Contact Dermatitis,-0.04883749538688653,-0.23881134063964826,0.1450046583850931,0.6149385061493851,0.6077392260773923,1.0
Scabies,-0.03088918878392566,-0.13297848185757424,0.05241935483870964,0.523052305230523,0.6931306869313069,1.0
