label,auc_difference,ci_lower,ci_upper,bootstrap_p,paired_permutation_p,holm_adjusted_p
Eczema,-0.0594837864254949,-0.10287041539747079,-0.017191921631520703,0.0065993400659934,0.0334966503349665,0.8374162583741626
Allergic Contact Dermatitis,-0.028517369727047215,-0.06973250629967054,0.012861308322617475,0.17618238176182383,0.34506549345065496,1.0
Insect Bite,-0.04057971014492756,-0.07630920436153002,-0.005530674531798679,0.026797320267973202,0.3207679232076792,1.0
Urticaria,-0.016385714285714337,-0.05252992063492063,0.019832194001049942,0.37976202379762025,0.6524347565243476,1.0
Psoriasis,0.006561882411067144,-0.07082161148482506,0.08544667739922,0.8869113088691131,0.9129087091290871,1.0
Folliculitis,0.0006338028169012855,-0.03150849728701226,0.03442097767336447,0.9941005899410059,0.989001099890011,1.0
Irritant Contact Dermatitis,0.003506311360448988,-0.07343074334016658,0.07868168804413833,0.9099090090990901,0.964003599640036,1.0
Tinea,-0.021602584234375777,-0.08950474671042448,0.049180488223342825,0.533946605339466,0.7472252774722528,1.0
Herpes Zoster,-0.015938336925991337,-0.05803583494208496,0.03051524104521171,0.4657534246575342,0.7951204879512048,1.0
Drug Rash,-0.033966033966033926,-0.0866336406562511,0.014467843512632776,0.17318268173182683,0.663033696630337,1.0
Herpes Simplex,-0.017089041095890378,-0.04970947833828259,0.012619119992589944,0.2733726627337266,0.7196280371962803,1.0
Impetigo,-0.019049787492410597,-0.06462408524015661,0.02520146268922879,0.39516048395160486,0.8233176682331766,1.0
Acute Dermatitis NOS,-0.00039599683202518055,-0.10788630246429329,0.1188266923119938,0.9605039496050395,0.9973002699730027,1.0
Hypersensitivity,-0.04305432950806509,-0.11479883081604242,0.04834656869005655,0.29657034296570345,0.6407359264073592,1.0
Acne,-0.008390022675736963,-0.05401542996212512,0.026643037721658717,0.7279272072792721,0.846015398460154,1.0
Pigmented Purpuric Eruption,0.012335600907029343,-0.005896372494116913,0.034419288480873375,0.2091790820917908,0.8048195180481952,1.0
Leukocytoclastic Vasculitis,-0.004761904761904634,-0.05589175208353292,0.047748962864081784,0.8569143085691431,0.9463053694630537,1.0
Lichen Planus Lichenoid Eruption,-0.03154114906832284,-0.12491505675219033,0.04422226494904835,0.4831516848315168,0.7476252374762524,1.0
Pityriasis Rosea,-0.026084010840108363,-0.1769680589488693,0.07383412948133665,0.7993200679932007,0.8157184281571843,1.0
Viral Exanthem,0.014507880179522092,-0.06013682432432443,0.09101245447899568,0.7003299670032996,0.8568143185681432,1.0
Lichen Simplex Chronicus,-0.03346045023988198,-0.1287339181286551,0.06545652019086955,0.49055094490550943,0.8054194580541946,1.0
Stasis Dermatitis,0.09712141714848066,0.009080171485124572,0.24395381223426632,0.015398460153984602,0.34856514348565143,1.0
Keratosis Pilaris,0.07407407407407418,-0.03463236601743191,0.2397739291115436,0.30016998300169984,0.579042095790421,1.0
CD - Contact Dermatitis,-0.1243695411489728,-0.2999524135827203,0.06082324444633356,0.18718128187181282,0.37546245375462456,1.0
Scabies,-0.0319388214125057,-0.10308116701038393,0.0514610534907236,0.39543954395439546,0.7964203579642036,1.0
