model,condition,shared_slope,offset
siglip2_mil,Eczema,1.1093896437471749,-1.487680996129557
siglip2_mil,Allergic Contact Dermatitis,1.1093896437471749,-1.6223600375162552
siglip2_mil,Insect Bite,1.1093896437471749,-1.9231010664923527
siglip2_mil,Urticaria,1.1093896437471749,-1.9434917891155612
siglip2_mil,Psoriasis,1.1093896437471749,-1.8605480386399424
siglip2_mil,Folliculitis,1.1093896437471749,-1.8251529883452673
siglip2_mil,Irritant Contact Dermatitis,1.1093896437471749,-2.0797139171644727
siglip2_mil,Tinea,1.1093896437471749,-1.908545385840011
siglip2_mil,Herpes Zoster,1.1093896437471749,-1.67203246902278
siglip2_mil,Drug Rash,1.1093896437471749,-1.9029993419481896
siglip2_mil,Herpes Simplex,1.1093896437471749,-1.6139570732291213
siglip2_mil,Impetigo,1.1093896437471749,-1.8768631991689368
siglip2_mil,Acute Dermatitis NOS,1.1093896437471749,-2.145662958691378
siglip2_mil,Hypersensitivity,1.1093896437471749,-2.061397155782506
siglip2_mil,Acne,1.1093896437471749,-1.4042365791182227
siglip2_mil,Pigmented Purpuric Eruption,1.1093896437471749,-1.5678338862505934
siglip2_mil,Leukocytoclastic Vasculitis,1.1093896437471749,-1.6107849910476988
siglip2_mil,Lichen Planus Lichenoid Eruption,1.1093896437471749,-1.5830479783623983
siglip2_mil,Pityriasis Rosea,1.1093896437471749,-1.5318195355348714
siglip2_mil,Viral Exanthem,1.1093896437471749,-1.599389733099425
siglip2_mil,Lichen Simplex Chronicus,1.1093896437471749,-1.5630408411245147
siglip2_mil,Stasis Dermatitis,1.1093896437471749,-1.5084659585656794
siglip2_mil,Keratosis Pilaris,1.1093896437471749,-1.5266382080561323
siglip2_mil,CD - Contact Dermatitis,1.1093896437471749,-1.9359322205107168
siglip2_mil,Scabies,1.1093896437471749,-1.6316359700787222
siglip2_rf,Eczema,1.2769046812045919,-0.4257415511429496
siglip2_rf,Allergic Contact Dermatitis,1.2769046812045919,-0.477364319744574
siglip2_rf,Insect Bite,1.2769046812045919,-0.3115244927649156
siglip2_rf,Urticaria,1.2769046812045919,-0.2740494258911373
siglip2_rf,Psoriasis,1.2769046812045919,-0.19998628364304188
siglip2_rf,Folliculitis,1.2769046812045919,-0.23114460931483188
siglip2_rf,Irritant Contact Dermatitis,1.2769046812045919,-0.15944524223423148
siglip2_rf,Tinea,1.2769046812045919,-0.09830895744452138
siglip2_rf,Herpes Zoster,1.2769046812045919,-0.058354940518251255
siglip2_rf,Drug Rash,1.2769046812045919,-0.1591777196091059
siglip2_rf,Herpes Simplex,1.2769046812045919,-0.039839058583284376
siglip2_rf,Impetigo,1.2769046812045919,-0.08752715191205913
siglip2_rf,Acute Dermatitis NOS,1.2769046812045919,-0.11310372677093147
siglip2_rf,Hypersensitivity,1.2769046812045919,-0.099502233229506
siglip2_rf,Acne,1.2769046812045919,0.027973197868012015
siglip2_rf,Pigmented Purpuric Eruption,1.2769046812045919,-0.05616405729630979
siglip2_rf,Leukocytoclastic Vasculitis,1.2769046812045919,0.0028339875304754713
siglip2_rf,Lichen Planus Lichenoid Eruption,1.2769046812045919,-0.032003748476908796
siglip2_rf,Pityriasis Rosea,1.2769046812045919,-0.0820755437817464
siglip2_rf,Viral Exanthem,1.2769046812045919,-0.04264474804951605
siglip2_rf,Lichen Simplex Chronicus,1.2769046812045919,0.05512113423462649
siglip2_rf,Stasis Dermatitis,1.2769046812045919,-0.031230344698494342
siglip2_rf,Keratosis Pilaris,1.2769046812045919,-0.0690362529828849
siglip2_rf,CD - Contact Dermatitis,1.2769046812045919,-0.09398255882927462
siglip2_rf,Scabies,1.2769046812045919,0.0023583575223588976
